dataset,train_shot,x_dim,way,test_shot,loss,epochs,trials,silent,split,lr_predictor,lr_target,test_batch,save_data,full_test,gpu,table_dataset,accuracy,duration_sec,z_dim
covtype,1,54,7,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,True,0.2557142857142856,36.11486840248108,
covtype,1,54,7,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,True,0.2242857142857142,32.082828998565674,
covtype,1,54,7,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,True,0.2199999999999999,31.83353590965271,
covtype,1,54,7,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,True,0.1857142857142856,30.62630343437195,
covtype,1,54,7,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,True,0.1671428571428571,29.280059337615967,
covtype,1,54,7,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,True,0.1642857142857142,29.68502402305603,
covtype,1,54,7,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,True,0.1785714285714285,29.1542866230011,
covtype,1,54,7,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,True,0.1614285714285714,30.786726474761963,
covtype,1,54,7,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,True,0.1585714285714285,31.207155466079712,
covtype,10,54,7,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,True,0.4814285714285714,264.9988486766815,
covtype,10,54,7,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,True,0.4799999999999999,368.7657427787781,
covtype,10,54,7,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,True,0.4814285714285714,365.812513589859,
covtype,10,54,7,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,True,0.4085714285714285,369.34530568122864,
covtype,10,54,7,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,True,0.2157142857142857,379.6627912521362,
covtype,10,54,7,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,True,0.2057142857142856,376.2521924972534,
covtype,10,54,7,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,True,0.3985714285714286,382.9152071475983,
covtype,10,54,7,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,True,0.1785714285714285,377.1637399196625,
covtype,10,54,7,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,True,0.1642857142857142,390.8899862766266,
covtype,50,54,7,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,True,0.56,1222.9984493255615,
covtype,50,54,7,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,True,0.55,1512.9186148643494,
