dataset,epochs,way,train_shot,test_shot,x_dim,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
covtype,3,7,1,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1585714285714285,102.89253783226012
covtype,3,7,1,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1557142857142857,13.77504539489746
covtype,3,7,1,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1557142857142857,13.59856629371643
covtype,3,7,10,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1599999999999999,13.936252355575562
covtype,3,7,10,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1371428571428571,14.305195569992064
covtype,3,7,10,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1357142857142857,14.135676145553589
covtype,3,7,50,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.2428571428571428,16.887622356414795
covtype,3,7,50,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1728571428571428,17.63827395439148
covtype,3,7,50,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1671428571428571,17.839868783950806
covtype,3,7,100,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.3671428571428571,22.46817183494568
covtype,3,7,100,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1628571428571428,20.66024208068848
covtype,3,7,100,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1499999999999999,20.35838413238525
covtype,3,7,200,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.4599999999999999,28.109124422073364
covtype,3,7,200,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1728571428571428,27.65939927101136
covtype,3,7,200,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1528571428571428,28.09794235229492
covtype,3,7,300,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.5142857142857142,34.087510108947754
covtype,3,7,300,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.2028571428571427,34.77402949333191
covtype,3,7,300,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1699999999999999,34.57297897338867
covtype,10,7,1,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1714285714285713,14.482768297195436
covtype,10,7,1,1,54,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1585714285714285,14.262112617492676
covtype,10,7,1,1,54,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.1557142857142857,14.071619033813477
covtype,10,7,10,1,54,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,True,0.2299999999999999,16.18211054801941
