dataset,epochs,way,train_shot,test_shot,x_dim,hidden_size,hidden_layers,nonlinearity,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,log_accuracy,table_dataset,accuracy,duration_sec
covtype,5,7,1,1,54,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.2657142857142856,20.367592334747314
covtype,5,7,1,1,54,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.1714285714285713,16.59989881515503
covtype,5,7,1,1,54,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.1599999999999999,17.47872543334961
covtype,5,7,10,1,54,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.4485714285714286,19.63621497154236
covtype,5,7,10,1,54,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.2657142857142857,19.46020126342773
covtype,5,7,10,1,54,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.2242857142857142,18.98876476287841
covtype,5,7,50,1,54,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.6457142857142857,29.48513913154602
covtype,5,7,50,1,54,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.48,30.42394208908081
covtype,5,7,50,1,54,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.3928571428571428,30.02230334281921
covtype,5,7,100,1,54,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.6428571428571429,41.31222748756409
covtype,5,7,100,1,54,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.5428571428571427,42.00809955596924
covtype,5,7,100,1,54,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.4385714285714285,42.61694598197937
covtype,5,7,200,1,54,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.6428571428571428,67.31318140029907
covtype,5,7,200,1,54,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.5742857142857142,67.67651677131653
covtype,5,7,200,1,54,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.5171428571428571,67.19607615470886
covtype,5,7,300,1,54,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.6971428571428571,92.64121913909912
covtype,5,7,300,1,54,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.6342857142857142,94.23672318458556
