dataset,epochs,way,train_shot,test_shot,dld,optimizer,x_dim,z_dim,lr,initialization,channels,in_alphabet,add_rotations,loss,trials,silent,split,gpu,test_batch,full_test,save_data,table_dataset,svd_version,accuracy,duration_sec
covtype,3,7,1,1,True,adam,54,1000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.3242857142857142,62.85041666030884
covtype,3,7,1,1,True,adam,54,2000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.3157142857142856,59.12784719467163
covtype,3,7,10,1,True,adam,54,1000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.4614285714285714,61.40374040603638
covtype,3,7,10,1,True,adam,54,2000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.5028571428571429,62.28376483917236
covtype,3,7,50,1,True,adam,54,1000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.2957142857142856,66.47637605667114
covtype,3,7,50,1,True,adam,54,2000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.297142857142857,68.56515979766846
covtype,3,7,100,1,True,adam,54,1000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.1714285714285713,75.77457404136658
covtype,3,7,100,1,True,adam,54,2000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.1671428571428571,77.37490773200989
covtype,3,7,200,1,True,adam,54,1000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.1685714285714285,95.56569051742554
covtype,3,7,200,1,True,adam,54,2000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.1542857142857142,95.89710450172424
covtype,3,7,300,1,True,adam,54,1000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.1614285714285714,107.25042939186096
covtype,3,7,300,1,True,adam,54,2000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.1528571428571428,107.19621634483336
covtype,10,7,1,1,True,adam,54,1000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.3242857142857142,60.896658182144165
covtype,10,7,1,1,True,adam,54,2000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.3157142857142856,60.958773374557495
covtype,10,7,10,1,True,adam,54,1000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.4614285714285714,62.07319760322571
covtype,10,7,10,1,True,adam,54,2000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.5028571428571429,61.8756320476532
covtype,10,7,50,1,True,adam,54,1000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.2957142857142856,69.87778925895691
covtype,10,7,50,1,True,adam,54,2000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.297142857142857,69.55470132827759
covtype,10,7,100,1,True,adam,54,1000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.1714285714285713,76.34830403327942
covtype,10,7,100,1,True,adam,54,2000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.1671428571428571,76.9573380947113
covtype,10,7,200,1,True,adam,54,1000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.1685714285714285,92.12582182884216
covtype,10,7,200,1,True,adam,54,2000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.1542857142857142,94.12952089309692
covtype,10,7,300,1,True,adam,54,1000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.1614285714285714,106.35876727104188
covtype,10,7,300,1,True,adam,54,2000,0.01,xavier_normal,1,False,True,MSELoss(),100,True,train,2,2000,False,False,True,1,0.1528571428571428,108.9871187210083
