dataset,way,train_shot,test_shot,max_depth,x_dim,channels,trials,split,in_alphabet,add_rotations,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
covtype,7,1,1,1,54,0,100,test,False,True,2000,False,False,True,0.1699999999999999,13.43774700164795
covtype,7,1,1,3,54,0,100,test,False,True,2000,False,False,True,0.2114285714285713,13.318939447402954
covtype,7,1,1,5,54,0,100,test,False,True,2000,False,False,True,0.2328571428571427,13.445422649383543
covtype,7,1,1,7,54,0,100,test,False,True,2000,False,False,True,0.2628571428571428,14.01552677154541
covtype,7,1,1,10,54,0,100,test,False,True,2000,False,False,True,0.2485714285714284,14.073159217834473
covtype,7,1,1,20,54,0,100,test,False,True,2000,False,False,True,0.2628571428571428,15.195658445358276
covtype,7,1,1,30,54,0,100,test,False,True,2000,False,False,True,0.2614285714285714,15.250837564468384
covtype,7,1,1,50,54,0,100,test,False,True,2000,False,False,True,0.2528571428571428,14.570531845092772
covtype,7,1,1,100,54,0,100,test,False,True,2000,False,False,True,0.2828571428571427,14.412323236465454
covtype,7,10,1,1,54,0,100,test,False,True,2000,False,False,True,0.2699999999999998,15.349899291992188
covtype,7,10,1,3,54,0,100,test,False,True,2000,False,False,True,0.5114285714285715,16.249733924865723
covtype,7,10,1,5,54,0,100,test,False,True,2000,False,False,True,0.4942857142857142,16.438897132873535
covtype,7,10,1,7,54,0,100,test,False,True,2000,False,False,True,0.5257142857142858,15.104435920715332
covtype,7,10,1,10,54,0,100,test,False,True,2000,False,False,True,0.547142857142857,18.157233715057373
covtype,7,10,1,20,54,0,100,test,False,True,2000,False,False,True,0.4999999999999999,16.564470529556274
covtype,7,10,1,30,54,0,100,test,False,True,2000,False,False,True,0.5,17.88253927230835
covtype,7,10,1,50,54,0,100,test,False,True,2000,False,False,True,0.5014285714285714,18.075087308883667
covtype,7,10,1,100,54,0,100,test,False,True,2000,False,False,True,0.5142857142857142,15.368910074234009
covtype,7,50,1,1,54,0,100,test,False,True,2000,False,False,True,0.2842857142857141,17.007051706314087
covtype,7,50,1,3,54,0,100,test,False,True,2000,False,False,True,0.5957142857142856,17.405936241149902
covtype,7,50,1,5,54,0,100,test,False,True,2000,False,False,True,0.5857142857142857,16.00106191635132
covtype,7,50,1,7,54,0,100,test,False,True,2000,False,False,True,0.5771428571428571,18.326007604599
covtype,7,50,1,10,54,0,100,test,False,True,2000,False,False,True,0.6071428571428571,15.266665935516356
covtype,7,50,1,20,54,0,100,test,False,True,2000,False,False,True,0.5685714285714284,17.234033584594727
covtype,7,50,1,30,54,0,100,test,False,True,2000,False,False,True,0.5657142857142856,17.375407457351685
covtype,7,50,1,50,54,0,100,test,False,True,2000,False,False,True,0.5957142857142856,15.168140172958374
