dataset,epochs,way,train_shot,test_shot,x_dim,hidden_size,hidden_layers,nonlinearity,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,log_accuracy,table_dataset,accuracy,duration_sec
customer,5,2,1,1,41,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.535,4.684413909912109
customer,5,2,1,1,41,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.51,1.9891822338104248
customer,5,2,1,1,41,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.48,1.8391385078430176
customer,5,2,10,1,41,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.615,1.801201105117798
customer,5,2,10,1,41,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.565,1.898621082305908
customer,5,2,10,1,41,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.545,2.045982360839844
customer,5,2,50,1,41,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.7,5.116145610809326
customer,5,2,50,1,41,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.68,4.98799991607666
customer,5,2,50,1,41,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.635,5.0549609661102295
customer,5,2,100,1,41,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.765,8.888383865356445
customer,5,2,100,1,41,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.725,8.967586994171143
customer,5,2,100,1,41,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.71,8.879053592681885
customer,5,2,200,1,41,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.805,16.13199806213379
customer,5,2,200,1,41,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.765,16.404150247573853
customer,5,2,200,1,41,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.71,16.64637780189514
customer,5,2,300,1,41,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.74,24.4552698135376
customer,5,2,300,1,41,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.73,22.85752558708191
customer,5,2,300,1,41,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,False,1,2000,False,True,True,True,0.72,23.64630651473999
customer,5,2,1,1,41,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.585,7.213234186172485
customer,5,2,1,1,41,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.56,4.114888668060303
customer,5,2,1,1,41,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.545,4.237900972366333
customer,5,2,10,1,41,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.63,3.60805892944336
customer,5,2,10,1,41,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.585,4.849153995513916
customer,5,2,10,1,41,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.565,3.872694492340088
customer,5,2,100,1,41,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.735,13.07351779937744
customer,5,2,100,1,41,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.725,13.82315158843994
customer,5,2,100,1,41,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.67,14.615153551101685
customer,5,2,300,1,41,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.735,35.14593195915222
customer,5,2,300,1,41,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.705,35.88117337226868
customer,5,2,300,1,41,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.685,35.62083649635315
customer,5,2,50,1,41,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.74,14.779124736785889
customer,5,2,50,1,41,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.67,9.794746160507202
customer,5,2,50,1,41,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.625,9.522916793823242
customer,5,2,200,1,41,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.705,26.531423330307007
customer,5,2,200,1,41,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.725,24.710426092147827
customer,5,2,200,1,41,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,train,False,False,0,2000,False,True,True,True,0.705,24.861762762069702
