dataset,epochs,way,train_shot,test_shot,dld,optimizer,lr,initialization,loss,trials,silent,split,gpu,test_batch,full_test,save_data,accuracy,duration_sec
customer,3,2.0,1,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.565,4.983134508132935
customer,3,2.0,1,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.575,1.840415954589844
customer,3,2.0,1,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.585,1.766092300415039
customer,3,2.0,1,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.585,1.849698543548584
customer,3,2.0,5,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.605,5.486634969711304
customer,3,2.0,5,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.53,5.301211595535278
customer,3,2.0,5,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.51,5.4858763217926025
customer,3,2.0,5,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.51,5.09552001953125
customer,3,2.0,10,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.615,9.786072492599487
customer,3,2.0,10,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.55,9.21156406402588
customer,3,2.0,10,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.51,9.67577338218689
customer,3,2.0,10,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.505,9.153363466262816
customer,3,2.0,100,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.655,85.05362558364868
customer,3,2.0,100,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.7,87.37189412117004
customer,3,2.0,100,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.515,84.36219000816345
customer,3,2.0,100,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.48,86.19060254096985
customer,3,2.0,300,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.605,282.925555229187
customer,3,2.0,300,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.7,286.07337856292725
customer,3,2.0,300,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.62,250.78957533836365
customer,3,2.0,300,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.6,250.56425738334656
customer,10,2.0,1,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.525,3.62410044670105
customer,10,2.0,1,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.57,3.6033504009246826
customer,10,2.0,1,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.585,3.931087255477905
customer,10,2.0,1,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.58,3.6311190128326416
customer,10,2.0,5,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.615,14.747866868972778
customer,10,2.0,5,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.555,14.918359994888306
customer,10,2.0,5,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.515,14.538609743118286
customer,10,2.0,5,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.51,15.053123474121094
customer,10,2.0,10,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.625,29.607293128967285
customer,10,2.0,10,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.58,29.954856157302856
customer,10,2.0,10,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.52,30.599336624145508
customer,10,2.0,10,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.525,31.128005027771
customer,10,2.0,100,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.55,289.0882234573364
customer,10,2.0,100,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.69,294.65573835372925
customer,10,2.0,100,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.655,305.4198355674744
customer,10,2.0,100,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,test,1,1407,False,False,0.565,293.78056836128235
