dataset,epochs,way,train_shot,test_shot,dld,x_dim,z_dim,optimizer,lr,lr_target,initialization,loss,trials,silent,split,gpu,test_batch,full_test,save_data,table_dataset,accuracy,add_rotations,channels,duration_sec,in_alphabet
customer,3,2,1,1,True,41,2000,adam,0.01,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.545,0.0,1.0,6.027263879776001,0.0
customer,3,2,1,1,True,41,2000,adam,0.01,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.54,0.0,1.0,2.8846240043640137,0.0
customer,3,2,1,1,True,41,2000,adam,0.01,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.54,0.0,1.0,2.939408302307129,0.0
customer,3,2,1,1,True,41,2000,adam,0.001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.52,0.0,1.0,2.942771673202514,0.0
customer,3,2,1,1,True,41,2000,adam,0.001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.515,0.0,1.0,3.2483930587768555,0.0
customer,3,2,1,1,True,41,2000,adam,0.001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.51,0.0,1.0,3.1167590618133545,0.0
customer,3,2,1,1,True,41,2000,adam,0.0001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.49,0.0,1.0,3.1002111434936523,0.0
customer,3,2,1,1,True,41,2000,adam,0.0001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.485,0.0,1.0,3.0587351322174072,0.0
customer,3,2,1,1,True,41,2000,adam,0.0001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.485,0.0,1.0,2.94848370552063,0.0
customer,3,2,1,1,True,41,2000,adam,5e-05,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.485,0.0,1.0,2.9902071952819824,0.0
customer,3,2,1,1,True,41,2000,adam,5e-05,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.495,0.0,1.0,3.261101722717285,0.0
customer,3,2,1,1,True,41,2000,adam,5e-05,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.495,0.0,1.0,2.852482318878174,0.0
customer,3,2,50,1,True,41,2000,adam,0.01,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.615,0.0,1.0,64.21224904060364,0.0
customer,3,2,50,1,True,41,2000,adam,0.01,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.61,0.0,1.0,61.93983292579651,0.0
customer,3,2,50,1,True,41,2000,adam,0.01,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.61,0.0,1.0,62.50997591018677,0.0
customer,3,2,50,1,True,41,2000,adam,0.001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.645,0.0,1.0,63.37627410888672,0.0
customer,3,2,50,1,True,41,2000,adam,0.001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.64,0.0,1.0,62.93742346763611,0.0
customer,3,2,50,1,True,41,2000,adam,0.001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.64,0.0,1.0,65.45790505409241,0.0
customer,3,2,50,1,True,41,2000,adam,0.0001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.62,0.0,1.0,63.19140958786011,0.0
customer,3,2,50,1,True,41,2000,adam,0.0001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.61,0.0,1.0,64.05190658569336,0.0
customer,3,2,50,1,True,41,2000,adam,0.0001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.61,0.0,1.0,61.47526288032532,0.0
customer,3,2,50,1,True,41,2000,adam,5e-05,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.575,0.0,1.0,62.25926733016968,0.0
customer,3,2,50,1,True,41,2000,adam,5e-05,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.595,0.0,1.0,65.1223213672638,0.0
customer,3,2,50,1,True,41,2000,adam,5e-05,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.595,0.0,1.0,64.63509440422058,0.0
customer,3,2,10,1,True,41,2000,adam,0.01,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.595,0.0,1.0,13.696443796157835,0.0
customer,3,2,10,1,True,41,2000,adam,0.01,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.58,0.0,1.0,13.800358533859251,0.0
customer,3,2,10,1,True,41,2000,adam,0.01,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.585,0.0,1.0,13.651995420455933,0.0
customer,3,2,10,1,True,41,2000,adam,0.001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.635,0.0,1.0,13.63110899925232,0.0
customer,3,2,10,1,True,41,2000,adam,0.001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.625,0.0,1.0,14.9264075756073,0.0
customer,3,2,10,1,True,41,2000,adam,0.001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.63,0.0,1.0,13.801523208618164,0.0
customer,3,2,10,1,True,41,2000,adam,0.0001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.535,0.0,1.0,13.657964706420898,0.0
customer,3,2,10,1,True,41,2000,adam,0.0001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.57,0.0,1.0,14.761433124542236,0.0
customer,3,2,10,1,True,41,2000,adam,0.0001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.57,0.0,1.0,13.758055686950684,0.0
customer,3,2,10,1,True,41,2000,adam,5e-05,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.53,0.0,1.0,13.453778743743896,0.0
customer,3,2,10,1,True,41,2000,adam,5e-05,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.57,0.0,1.0,13.789366960525513,0.0
customer,3,2,10,1,True,41,2000,adam,5e-05,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.57,0.0,1.0,13.80951189994812,0.0
customer,3,2,100,1,True,41,2000,adam,0.01,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.62,0.0,1.0,123.39297199249268,0.0
customer,3,2,100,1,True,41,2000,adam,0.01,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.61,0.0,1.0,124.68639707565308,0.0
customer,3,2,100,1,True,41,2000,adam,0.01,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.61,0.0,1.0,122.8099594116211,0.0
customer,3,2,100,1,True,41,2000,adam,0.001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.705,0.0,1.0,121.9205014705658,0.0
customer,3,2,100,1,True,41,2000,adam,0.001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.715,0.0,1.0,125.84923434257507,0.0
customer,3,2,100,1,True,41,2000,adam,0.001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.715,0.0,1.0,121.69575619697572,0.0
customer,3,2,100,1,True,41,2000,adam,0.0001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.67,0.0,1.0,123.69142317771912,0.0
customer,3,2,100,1,True,41,2000,adam,0.0001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.655,0.0,1.0,124.29245281219482,0.0
customer,3,2,100,1,True,41,2000,adam,0.0001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.655,0.0,1.0,127.2539336681366,0.0
customer,3,2,100,1,True,41,2000,adam,5e-05,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.655,0.0,1.0,124.46322393417358,0.0
customer,3,2,100,1,True,41,2000,adam,5e-05,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.645,0.0,1.0,124.34101033210754,0.0
customer,3,2,100,1,True,41,2000,adam,5e-05,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.645,0.0,1.0,120.82810306549072,0.0
customer,3,2,200,1,True,41,2000,adam,0.01,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.52,0.0,1.0,246.3847677707672,0.0
customer,3,2,200,1,True,41,2000,adam,0.01,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.535,0.0,1.0,244.8538212776184,0.0
customer,3,2,200,1,True,41,2000,adam,0.01,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.525,0.0,1.0,245.8691139221192,0.0
customer,3,2,200,1,True,41,2000,adam,0.001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.71,0.0,1.0,248.6119577884674,0.0
customer,3,2,200,1,True,41,2000,adam,0.001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.71,0.0,1.0,246.7446639537812,0.0
customer,3,2,200,1,True,41,2000,adam,0.001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.71,0.0,1.0,243.96617150306705,0.0
customer,3,2,200,1,True,41,2000,adam,0.0001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.67,0.0,1.0,243.3559443950653,0.0
customer,3,2,200,1,True,41,2000,adam,0.0001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.655,0.0,1.0,250.5581855773925,0.0
customer,3,2,200,1,True,41,2000,adam,0.0001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.655,0.0,1.0,249.5206000804901,0.0
customer,3,2,200,1,True,41,2000,adam,5e-05,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.66,0.0,1.0,245.28161883354187,0.0
customer,3,2,200,1,True,41,2000,adam,5e-05,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.655,0.0,1.0,244.0623230934143,0.0
customer,3,2,200,1,True,41,2000,adam,5e-05,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.655,0.0,1.0,247.5966799259185,0.0
customer,3,2,300,1,True,41,2000,adam,0.01,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.545,0.0,1.0,372.8292360305786,0.0
customer,3,2,300,1,True,41,2000,adam,0.01,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.565,0.0,1.0,369.1337194442749,0.0
customer,3,2,300,1,True,41,2000,adam,0.01,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.57,0.0,1.0,367.8208327293396,0.0
customer,3,2,300,1,True,41,2000,adam,0.001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.66,0.0,1.0,375.7413094043732,0.0
customer,3,2,300,1,True,41,2000,adam,0.001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.66,0.0,1.0,365.4277818202973,0.0
customer,3,2,300,1,True,41,2000,adam,0.001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.66,0.0,1.0,375.2336256504059,0.0
customer,3,2,300,1,True,41,2000,adam,0.0001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.685,0.0,1.0,376.84348011016846,0.0
