dataset,way,train_shot,test_shot,max_depth,x_dim,channels,trials,split,in_alphabet,add_rotations,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
customer,2,1,1,1,41,0,100,test,False,True,2000,False,False,True,0.57,0.6975142955780029
customer,2,1,1,3,41,0,100,test,False,True,2000,False,False,True,0.485,0.5686957836151123
customer,2,1,1,5,41,0,100,test,False,True,2000,False,False,True,0.515,0.5371365547180176
customer,2,1,1,7,41,0,100,test,False,True,2000,False,False,True,0.535,0.4794144630432129
customer,2,1,1,10,41,0,100,test,False,True,2000,False,False,True,0.515,0.4851598739624023
customer,2,1,1,20,41,0,100,test,False,True,2000,False,False,True,0.53,0.4791254997253418
customer,2,1,1,30,41,0,100,test,False,True,2000,False,False,True,0.485,0.4714360237121582
customer,2,1,1,50,41,0,100,test,False,True,2000,False,False,True,0.51,0.4774587154388428
customer,2,1,1,100,41,0,100,test,False,True,2000,False,False,True,0.525,0.4703583717346191
customer,2,10,1,1,41,0,100,test,False,True,2000,False,False,True,0.6,0.5154790878295898
customer,2,10,1,3,41,0,100,test,False,True,2000,False,False,True,0.65,0.5201518535614014
customer,2,10,1,5,41,0,100,test,False,True,2000,False,False,True,0.66,0.6515896320343018
customer,2,10,1,7,41,0,100,test,False,True,2000,False,False,True,0.64,0.5416276454925537
customer,2,10,1,10,41,0,100,test,False,True,2000,False,False,True,0.58,0.5546483993530273
customer,2,10,1,20,41,0,100,test,False,True,2000,False,False,True,0.59,0.5461673736572266
customer,2,10,1,30,41,0,100,test,False,True,2000,False,False,True,0.585,0.5220742225646973
customer,2,10,1,50,41,0,100,test,False,True,2000,False,False,True,0.605,0.5014522075653076
customer,2,10,1,100,41,0,100,test,False,True,2000,False,False,True,0.61,0.5269217491149902
customer,2,50,1,1,41,0,100,test,False,True,2000,False,False,True,0.72,0.5103237628936768
customer,2,50,1,3,41,0,100,test,False,True,2000,False,False,True,0.665,0.5536749362945557
customer,2,50,1,5,41,0,100,test,False,True,2000,False,False,True,0.69,0.5450043678283691
customer,2,50,1,7,41,0,100,test,False,True,2000,False,False,True,0.615,0.5478200912475586
customer,2,50,1,10,41,0,100,test,False,True,2000,False,False,True,0.69,0.5827860832214355
customer,2,50,1,20,41,0,100,test,False,True,2000,False,False,True,0.605,0.5437960624694824
customer,2,50,1,30,41,0,100,test,False,True,2000,False,False,True,0.635,0.5313272476196289
customer,2,50,1,50,41,0,100,test,False,True,2000,False,False,True,0.7,0.5562825202941895
customer,2,50,1,100,41,0,100,test,False,True,2000,False,False,True,0.66,0.5539155006408691
customer,2,100,1,1,41,0,100,test,False,True,2000,False,False,True,0.725,0.5428934097290039
customer,2,100,1,3,41,0,100,test,False,True,2000,False,False,True,0.71,0.5951023101806641
customer,2,100,1,5,41,0,100,test,False,True,2000,False,False,True,0.68,0.6199896335601807
customer,2,100,1,7,41,0,100,test,False,True,2000,False,False,True,0.64,0.6152594089508057
customer,2,100,1,10,41,0,100,test,False,True,2000,False,False,True,0.655,0.6096150875091553
customer,2,100,1,20,41,0,100,test,False,True,2000,False,False,True,0.605,0.6159274578094482
customer,2,100,1,30,41,0,100,test,False,True,2000,False,False,True,0.645,0.6206026077270508
customer,2,100,1,50,41,0,100,test,False,True,2000,False,False,True,0.67,0.5888795852661133
customer,2,100,1,100,41,0,100,test,False,True,2000,False,False,True,0.595,0.6102991104125977
customer,2,200,1,1,41,0,100,test,False,True,2000,False,False,True,0.755,0.5645909309387207
customer,2,200,1,3,41,0,100,test,False,True,2000,False,False,True,0.715,0.6425909996032715
customer,2,200,1,5,41,0,100,test,False,True,2000,False,False,True,0.66,0.7310214042663574
customer,2,200,1,7,41,0,100,test,False,True,2000,False,False,True,0.685,0.6945710182189941
customer,2,200,1,10,41,0,100,test,False,True,2000,False,False,True,0.62,0.7270708084106445
customer,2,200,1,20,41,0,100,test,False,True,2000,False,False,True,0.655,0.7687642574310303
customer,2,200,1,30,41,0,100,test,False,True,2000,False,False,True,0.64,0.7825441360473633
customer,2,200,1,50,41,0,100,test,False,True,2000,False,False,True,0.695,0.7642383575439453
customer,2,200,1,100,41,0,100,test,False,True,2000,False,False,True,0.615,0.8184947967529297
customer,2,300,1,1,41,0,100,test,False,True,2000,False,False,True,0.705,0.6592209339141846
customer,2,300,1,3,41,0,100,test,False,True,2000,False,False,True,0.66,0.7964868545532227
customer,2,300,1,5,41,0,100,test,False,True,2000,False,False,True,0.7,0.7752490043640137
customer,2,300,1,7,41,0,100,test,False,True,2000,False,False,True,0.675,0.8320746421813965
customer,2,300,1,10,41,0,100,test,False,True,2000,False,False,True,0.6,0.9208738803863524
customer,2,300,1,20,41,0,100,test,False,True,2000,False,False,True,0.68,0.9138927459716796
customer,2,300,1,30,41,0,100,test,False,True,2000,False,False,True,0.665,0.9025139808654784
customer,2,300,1,50,41,0,100,test,False,True,2000,False,False,True,0.65,0.9677190780639648
customer,2,300,1,100,41,0,100,test,False,True,2000,False,False,True,0.585,0.947268009185791
customer,2,1,1,1,41,0,100,train,False,True,2000,False,False,True,0.54,2.3424973487854004
customer,2,1,1,3,41,0,100,train,False,True,2000,False,False,True,0.555,1.738471269607544
customer,2,1,1,5,41,0,100,train,False,True,2000,False,False,True,0.515,2.5202066898345947
customer,2,1,1,7,41,0,100,train,False,True,2000,False,False,True,0.5,2.4334166049957275
customer,2,1,1,10,41,0,100,train,False,True,2000,False,False,True,0.555,2.3771140575408936
customer,2,1,1,20,41,0,100,train,False,True,2000,False,False,True,0.535,1.7276599407196045
customer,2,1,1,30,41,0,100,train,False,True,2000,False,False,True,0.555,2.090857744216919
customer,2,1,1,50,41,0,100,train,False,True,2000,False,False,True,0.575,2.425384998321533
customer,2,1,1,100,41,0,100,train,False,True,2000,False,False,True,0.585,1.8011674880981443
customer,2,10,1,1,41,0,100,train,False,True,2000,False,False,True,0.585,2.223646879196167
customer,2,10,1,3,41,0,100,train,False,True,2000,False,False,True,0.62,2.035374164581299
customer,2,10,1,5,41,0,100,train,False,True,2000,False,False,True,0.63,1.963076114654541
customer,2,10,1,7,41,0,100,train,False,True,2000,False,False,True,0.64,2.132174730300904
customer,2,10,1,10,41,0,100,train,False,True,2000,False,False,True,0.62,2.285727977752685
customer,2,10,1,20,41,0,100,train,False,True,2000,False,False,True,0.685,2.2352099418640137
customer,2,10,1,30,41,0,100,train,False,True,2000,False,False,True,0.565,2.1042559146881104
customer,2,10,1,50,41,0,100,train,False,True,2000,False,False,True,0.685,2.192937135696411
customer,2,10,1,100,41,0,100,train,False,True,2000,False,False,True,0.685,1.911161422729492
customer,2,50,1,1,41,0,100,train,False,True,2000,False,False,True,0.65,2.149054527282715
customer,2,50,1,3,41,0,100,train,False,True,2000,False,False,True,0.73,1.6551003456115725
customer,2,50,1,5,41,0,100,train,False,True,2000,False,False,True,0.64,2.252444267272949
customer,2,50,1,7,41,0,100,train,False,True,2000,False,False,True,0.645,1.9057481288909912
customer,2,50,1,10,41,0,100,train,False,True,2000,False,False,True,0.66,2.347689628601074
customer,2,50,1,20,41,0,100,train,False,True,2000,False,False,True,0.745,2.12484097480774
customer,2,50,1,30,41,0,100,train,False,True,2000,False,False,True,0.66,2.166266202926636
customer,2,50,1,50,41,0,100,train,False,True,2000,False,False,True,0.705,2.186262369155884
customer,2,50,1,100,41,0,100,train,False,True,2000,False,False,True,0.69,1.721879243850708
customer,2,100,1,1,41,0,100,train,False,True,2000,False,False,True,0.74,2.0472121238708496
customer,2,100,1,3,41,0,100,train,False,True,2000,False,False,True,0.71,2.0833895206451416
customer,2,100,1,5,41,0,100,train,False,True,2000,False,False,True,0.76,2.292396306991577
customer,2,100,1,7,41,0,100,train,False,True,2000,False,False,True,0.67,2.4117443561553955
