dataset,epochs,way,train_shot,test_shot,x_dim,hidden_size,hidden_layers,nonlinearity,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,log_accuracy,accuracy,duration_sec
fashion_mnist,5,10,1,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.0003309999999999,6.413215637207031
fashion_mnist,5,10,1,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.000181,3.594660997390747
fashion_mnist,5,10,1,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.000142,3.2197303771972656
fashion_mnist,5,10,10,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.000536,8.211937427520752
fashion_mnist,5,10,10,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.000358,8.258465051651001
fashion_mnist,5,10,10,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.000252,8.247477769851685
fashion_mnist,5,10,50,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.000706,29.020180463790894
fashion_mnist,5,10,50,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.0006,28.574233531951904
fashion_mnist,5,10,50,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.000542,22.30391812324524
fashion_mnist,5,10,100,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.000754,42.6072793006897
fashion_mnist,5,10,100,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.000649,40.14416670799256
fashion_mnist,5,10,100,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.000621,40.66703152656555
fashion_mnist,5,10,200,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.000776,80.67215704917908
fashion_mnist,5,10,200,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.000709,85.17969489097595
fashion_mnist,5,10,1,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.331,7.719454526901245
fashion_mnist,5,10,1,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.181,3.7603659629821777
fashion_mnist,5,10,1,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.142,4.354701995849609
fashion_mnist,5,10,10,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.536,10.94222378730774
fashion_mnist,5,10,10,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.3579999999999999,9.387189626693726
fashion_mnist,5,10,10,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.252,9.411070585250854
fashion_mnist,5,10,50,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.706,28.20220112800598
fashion_mnist,5,10,50,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.6000000000000001,29.102705478668213
fashion_mnist,5,10,50,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.5419999999999999,27.690228700637817
fashion_mnist,5,10,100,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.754,50.64748001098633
fashion_mnist,5,10,100,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.649,49.31661748886109
fashion_mnist,5,10,100,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.6210000000000001,48.983673095703125
fashion_mnist,5,10,200,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.7760000000000001,94.39469838142396
fashion_mnist,5,10,200,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.709,84.2678382396698
fashion_mnist,5,10,200,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.65,79.83089089393616
fashion_mnist,5,10,300,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.8190000000000001,122.01988625526428
fashion_mnist,5,10,300,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.753,128.76344394683838
fashion_mnist,5,10,300,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.6999999999999998,121.5368926525116
