dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
fashion_mnist,3,10,1,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.4579999999999999,38.10710549354553
fashion_mnist,3,10,1,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.309,12.325414657592772
fashion_mnist,3,10,1,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.225,11.731122016906738
fashion_mnist,3,10,1,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.4619999999999999,20.742122888565063
fashion_mnist,3,10,1,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.3799999999999999,20.51063060760498
fashion_mnist,3,10,1,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.2769999999999999,20.29421639442444
fashion_mnist,3,10,5,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.6040000000000001,25.212390661239624
fashion_mnist,3,10,5,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.56,25.1307339668274
fashion_mnist,3,10,5,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.4649999999999999,24.9284348487854
fashion_mnist,3,10,5,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.583,35.36968755722046
fashion_mnist,3,10,5,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.5939999999999999,36.3394079208374
