dataset,way,train_shot,test_shot,x_dim,channels,trials,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec,max_depth
fashion_mnist,10,1,1,28,1,100,test,False,True,1,2000,False,False,0.1259999999999999,1.3302876949310305,1.0
fashion_mnist,10,1,1,28,1,100,test,False,True,1,2000,False,False,0.197,1.320556879043579,3.0
fashion_mnist,10,1,1,28,1,100,test,False,True,1,2000,False,False,0.244,1.4744997024536133,5.0
fashion_mnist,10,1,1,28,1,100,test,False,True,1,2000,False,False,0.2569999999999999,1.4543397426605225,7.0
fashion_mnist,10,1,1,28,1,100,test,False,True,1,2000,False,False,0.247,1.3210694789886477,10.0
fashion_mnist,10,1,1,28,1,100,test,False,True,1,2000,False,False,0.2599999999999999,1.4006202220916748,20.0
fashion_mnist,10,1,1,28,1,100,test,False,True,1,2000,False,False,0.25,1.283400058746338,30.0
fashion_mnist,10,1,1,28,1,100,test,False,True,1,2000,False,False,0.2309999999999999,1.374751091003418,50.0
fashion_mnist,10,1,1,28,1,100,test,False,True,1,2000,False,False,0.264,1.2467353343963623,100.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.1889999999999999,2.279120683670044,1.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.409,2.5354573726654053,3.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.508,2.8787877559661865,5.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.523,3.1177520751953125,7.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.53,4.222777843475342,10.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.534,3.913983821868897,20.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.5299999999999999,3.166259527206421,30.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.5529999999999999,3.085336923599243,50.0
