dataset,train_shot,x_dim,way,test_shot,loss,epochs,trials,silent,split,lr_predictor,lr_target,test_batch,save_data,full_test,gpu,table_dataset,accuracy,duration_sec
medical,1,59,6,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,True,0.1666666666666667,15.488073110580444
medical,1,59,6,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,True,0.1666666666666667,14.346287965774536
medical,1,59,6,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,True,0.1666666666666667,12.698314905166626
medical,1,59,6,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,True,0.1666666666666667,13.66482138633728
medical,1,59,6,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,True,0.1666666666666667,13.045220613479614
medical,1,59,6,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,True,0.1666666666666667,12.76754641532898
medical,1,59,6,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,True,0.1666666666666667,12.73074436187744
medical,1,59,6,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,True,0.1666666666666667,12.870389223098757
medical,1,59,6,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,True,0.1666666666666667,12.846968173980711
medical,10,59,6,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,True,0.1666666666666667,102.07291865348816
medical,10,59,6,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,True,0.1666666666666667,99.6652021408081
medical,10,59,6,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,True,0.1666666666666667,100.05772638320924
medical,10,59,6,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,True,0.1666666666666667,100.89104843139648
medical,10,59,6,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,True,0.1666666666666667,101.83688044548036
medical,10,59,6,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,True,0.1666666666666667,98.9172339439392
medical,10,59,6,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,True,0.1666666666666667,99.72468566894533
medical,10,59,6,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,True,0.1666666666666667,95.60485172271729
medical,10,59,6,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,True,0.1666666666666667,95.26643395423888
medical,50,59,6,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,True,0.1666666666666667,507.3286466598511
medical,50,59,6,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,True,0.1666666666666667,509.5012435913086
medical,50,59,6,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,True,0.1666666666666667,504.3453671932221
medical,50,59,6,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,True,0.1666666666666667,498.6178450584412
medical,50,59,6,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,True,0.1666666666666667,512.7391042709351
medical,50,59,6,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,True,0.1666666666666667,506.9779553413391
medical,50,59,6,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,True,0.1666666666666667,505.7536423206329
medical,50,59,6,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,True,0.1666666666666667,512.5092713832855
medical,50,59,6,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,True,0.1666666666666667,513.1952376365662
medical,100,59,6,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,True,0.1666666666666667,1008.5326714515686
medical,100,59,6,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,True,0.1666666666666667,1004.5802173614502
medical,100,59,6,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,True,0.1666666666666667,987.3607447147368
medical,100,59,6,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,True,0.1666666666666667,1003.5228154659272
medical,100,59,6,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,True,0.1666666666666667,1031.320538520813
medical,100,59,6,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,True,0.1666666666666667,1023.88485789299
medical,100,59,6,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,True,0.1666666666666667,1017.621542930603
medical,100,59,6,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,True,0.1666666666666667,978.314599275589
medical,100,59,6,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,True,0.1666666666666667,1003.0179998874664
