dataset,epochs,way,train_shot,test_shot,x_dim,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
medical,3,6,1,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,False,True,0.1666666666666667,5.766695976257324
medical,3,6,1,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,False,True,0.1666666666666667,2.494558572769165
medical,3,6,1,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,False,True,0.1666666666666667,2.5219736099243164
medical,3,6,10,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,False,True,0.1666666666666667,3.2152411937713623
medical,3,6,10,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,False,True,0.1666666666666667,2.8062098026275635
medical,3,6,10,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,False,True,0.1666666666666667,2.7507641315460205
medical,3,6,50,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,False,True,0.1666666666666667,5.71333122253418
medical,3,6,50,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,False,True,0.1666666666666667,5.368799209594727
medical,3,6,50,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,False,True,0.1666666666666667,5.530382394790649
medical,3,6,100,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,False,True,0.1666666666666667,9.425393342971802
medical,3,6,100,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,False,True,0.1666666666666667,9.618819236755373
medical,3,6,100,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,False,True,0.1666666666666667,9.431244134902954
medical,3,6,1000,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,244.91358828544617
medical,3,6,1000,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,262.7907462120056
medical,3,6,1000,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,263.00805401802063
medical,3,6,10,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,7.321366786956787
medical,3,6,10,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,8.401745557785034
medical,3,6,10,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,8.39690113067627
medical,3,6,50,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,16.901702165603638
medical,3,6,50,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,17.34714365005493
medical,3,6,50,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,18.24069094657898
medical,3,6,100,1,59,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,29.06815314292908
medical,3,6,100,1,59,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,30.839142084121704
medical,3,6,100,1,59,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,2000,False,False,True,0.1666666666666667,28.64620065689087
