dataset,epochs,way,train_shot,test_shot,dld,optimizer,x_dim,lr,initialization,loss,trials,silent,split,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec,z_dim
medical,3,6,300,1,True,adam,59,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,957.1548748016356,
medical,3,6,300,1,True,adam,59,0.001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,1291.9470882415771,
medical,3,6,300,1,True,adam,59,0.0001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,1112.7127923965454,
medical,3,6,300,1,True,adam,59,5e-05,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,1330.8960053920746,
medical,3,6,1,1,True,adam,59,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,12.159136772155762,
medical,3,6,1,1,True,adam,59,0.001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,11.66460418701172,
medical,3,6,1,1,True,adam,59,0.0001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,11.255626440048218,
medical,3,6,1,1,True,adam,59,5e-05,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,11.29648232460022,
medical,3,6,5,1,True,adam,59,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,30.14813804626465,
medical,3,6,5,1,True,adam,59,0.001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,29.24010133743286,
medical,3,6,5,1,True,adam,59,0.0001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,32.36771559715271,
medical,3,6,5,1,True,adam,59,5e-05,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,31.973961114883423,
medical,3,6,10,1,True,adam,59,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,52.132394313812256,
medical,3,6,10,1,True,adam,59,0.001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,50.52571082115173,
medical,3,6,10,1,True,adam,59,0.0001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,49.81532168388367,
medical,3,6,10,1,True,adam,59,5e-05,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,52.2864396572113,
medical,3,6,100,1,True,adam,59,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,444.2185814380646,
medical,3,6,100,1,True,adam,59,0.001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,442.8017048835754,
medical,3,6,100,1,True,adam,59,0.0001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,512.6696267127991,
medical,3,6,100,1,True,adam,59,5e-05,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,381.778436422348,
