dataset,way,train_shot,test_shot,loss,epochs,trials,silent,split,x_dim,z_dim,lr_predictor,lr_target,channels,test_batch,save_data,in_alphabet,add_rotations,augmentation,gpu,accuracy,duration_sec,full_test,table_dataset
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,False,False,2,0.888,824.2896208763123,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,False,False,2,0.904,799.2308413982391,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,False,False,2,0.912,800.6299250125885,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,False,False,2,0.938,806.1451325416565,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,False,False,2,0.932,797.0704877376556,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,False,False,2,0.934,797.2605850696564,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,False,False,2,0.9199999999999998,801.3989958763123,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,False,False,2,0.9400000000000002,817.4576954841614,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,False,False,2,0.94,799.6247501373291,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,False,False,2,0.8760000000000001,1094.7118935585022,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,False,False,2,0.812,1086.4352705478668,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,False,False,2,0.82,1168.0075793266296,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,False,False,2,0.928,1444.3872239589691,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,False,False,2,0.93,1438.0725755691528,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,False,False,2,0.926,1453.312747478485,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,False,False,2,0.924,1069.636001110077,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,False,False,2,0.942,1077.8304965496063,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,False,False,2,0.942,1093.7311029434204,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,False,False,2,0.7699999999999999,85.36133742332458,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,False,False,2,0.768,85.7800407409668,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,False,False,2,0.7699999999999999,85.84648633003235,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,False,False,2,0.7639999999999998,85.82172417640686,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,False,False,2,0.7739999999999999,76.48282742500305,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,False,False,2,0.7759999999999999,77.4068922996521,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,False,False,2,0.7539999999999999,76.23803496360779,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,False,False,2,0.7639999999999999,82.13268685340881,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,False,False,2,0.7659999999999999,76.1521508693695,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,False,False,2,0.7780000000000001,121.52249026298524,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,False,False,2,0.76,121.60537934303284,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,False,False,2,0.7659999999999999,121.7470362186432,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,False,False,2,0.782,122.32596492767334,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,False,False,2,0.792,120.55141854286194,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,False,False,2,0.7879999999999999,120.47935652732848,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,False,False,2,0.7759999999999999,121.6373896598816,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,False,False,2,0.8080000000000002,121.855623960495,0.0,0.0
mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,False,False,2,0.794,120.84065341949464,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,False,False,2,0.8360000000000001,395.237119436264,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,False,False,2,0.9099999999999998,412.40679240226746,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,False,False,2,0.922,397.7704522609711,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,False,False,2,0.898,403.9280643463135,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,False,False,2,0.914,404.24359250068665,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,False,False,2,0.918,401.99941873550415,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,False,False,2,0.88,394.84986901283264,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,False,False,2,0.9079999999999998,396.809641122818,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,False,False,2,0.908,395.2754967212677,0.0,0.0
