dataset,epochs,way,train_shot,test_shot,x_dim,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
mnist,3,10,10,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.449,11.680317401885986
mnist,3,10,10,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.1359999999999999,7.665435552597046
mnist,3,10,10,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.1239999999999999,7.8375842571258545
mnist,3,10,50,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.764,13.102927207946776
mnist,3,10,50,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.253,13.099235773086548
mnist,3,10,50,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.153,13.915440797805786
mnist,3,10,100,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.804,22.0614173412323
mnist,3,10,100,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.499,21.71991467475891
mnist,3,10,100,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.296,20.720121383666992
mnist,3,10,200,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.8430000000000001,40.04118275642395
mnist,3,10,200,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.6679999999999999,40.09427237510681
mnist,3,10,200,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.477,42.97494983673096
mnist,3,10,300,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.86,56.83300948143005
mnist,3,10,300,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.755,58.62155842781067
mnist,3,10,300,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.603,56.09744501113892
mnist,10,10,10,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.679,13.08054494857788
mnist,10,10,10,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.216,13.269107818603516
mnist,10,10,10,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.1569999999999999,12.345896244049072
mnist,10,10,50,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.8230000000000003,33.7941677570343
mnist,10,10,50,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.6050000000000001,33.14678692817688
mnist,10,10,50,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.391,31.70006775856018
mnist,10,10,100,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.8410000000000001,59.56244134902954
mnist,10,10,100,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.7619999999999999,58.44253993034363
mnist,10,10,100,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.655,55.26369428634644
mnist,10,10,200,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.8680000000000004,104.18213367462158
mnist,10,10,200,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.806,102.9446506500244
mnist,10,10,200,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.7689999999999999,100.38619875907898
mnist,10,10,300,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.88,147.35089492797852
mnist,10,10,300,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.8180000000000001,162.9340808391571
mnist,10,10,300,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,train,False,True,2,2000,False,False,False,0.7889999999999999,180.12050914764404
