dataset,epochs,way,train_shot,test_shot,x_dim,hidden_size,hidden_layers,nonlinearity,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,log_accuracy,accuracy,duration_sec,table_dataset
mnist,5,10,1,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.324,6.632652044296265,0.0
mnist,5,10,1,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.137,2.306779623031616,0.0
mnist,5,10,1,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.125,2.2355546951293945,0.0
mnist,5,10,10,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.6290000000000001,5.542617082595825,0.0
mnist,5,10,10,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.296,5.530813694000244,0.0
mnist,5,10,10,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.177,6.084790229797363,0.0
mnist,5,10,50,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.8610000000000001,16.99405312538147,0.0
mnist,5,10,50,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.6779999999999999,16.929936408996582,0.0
mnist,5,10,50,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.536,16.71839141845703,0.0
mnist,5,10,100,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.8880000000000001,30.519928216934204,0.0
mnist,5,10,100,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.8029999999999999,30.6597261428833,0.0
mnist,5,10,100,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.7049999999999998,31.090142250061035,0.0
mnist,5,10,200,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.8910000000000001,60.28481388092041,0.0
mnist,5,10,200,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.8550000000000001,60.779560565948486,0.0
mnist,5,10,200,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.807,58.29293870925903,0.0
mnist,5,10,300,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.917,91.50902962684631,0.0
mnist,5,10,300,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.8860000000000001,89.96488451957703,0.0
mnist,5,10,300,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,3,2000,False,True,False,0.8590000000000002,93.25622701644897,0.0
