dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
mnist,3,10,1,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.028,29.29662036895752
mnist,3,10,1,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0789999999999999,22.42338895797729
mnist,3,10,1,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.103,21.212252616882324
mnist,3,10,1,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.025,47.38485026359558
mnist,3,10,1,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0579999999999999,38.74556016921997
mnist,3,10,1,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.095,45.980541706085205
mnist,3,10,5,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.004,40.547598361968994
mnist,3,10,5,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.007,41.3743577003479
mnist,3,10,5,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.017,40.265807151794434
mnist,3,10,5,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.002,58.77731704711914
mnist,3,10,5,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.003,60.035183906555176
mnist,3,10,5,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.014,60.620588064193726
mnist,3,10,10,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.003,62.80314564704895
mnist,3,10,10,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.002,64.39979481697083
mnist,3,10,10,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.005,63.3673357963562
mnist,3,10,10,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.002,82.3082365989685
mnist,3,10,10,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.002,89.64654541015625
mnist,3,10,10,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.003,87.26472687721252
mnist,3,10,50,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,238.03505969047544
mnist,3,10,50,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,233.95490384101868
mnist,3,10,50,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,236.0567090511322
mnist,3,10,50,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,276.1325147151947
mnist,3,10,50,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,277.24217677116394
mnist,3,10,50,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,268.6985762119293
mnist,3,10,100,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.001,453.1242635250092
mnist,3,10,100,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,447.89127922058105
