dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,svd_version,accuracy,duration_sec
mnist,3,10,1,1,28,1000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.3089999999999999,27.94858407974243
mnist,3,10,1,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.313,43.47902178764343
mnist,3,10,10,1,28,1000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.5980000000000001,26.569754600524902
mnist,3,10,10,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.5670000000000001,44.63549065589905
mnist,3,10,50,1,28,1000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.8070000000000002,43.252254247665405
mnist,3,10,50,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.8250000000000002,63.66809558868408
mnist,3,10,100,1,28,1000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.8940000000000002,64.57090711593628
mnist,3,10,100,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.9090000000000004,88.52118420600891
mnist,3,10,200,1,28,1000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.9320000000000002,110.21044373512268
mnist,3,10,200,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.934,138.50397658348083
mnist,3,10,300,1,28,1000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.9450000000000004,156.62557125091553
mnist,3,10,300,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.939,188.2562460899353
mnist,10,10,1,1,28,1000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.3089999999999999,22.60326051712036
mnist,10,10,1,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.313,42.70342564582825
mnist,10,10,10,1,28,1000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.5980000000000001,28.37932801246643
mnist,10,10,10,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.5670000000000001,44.72945070266724
mnist,10,10,50,1,28,1000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.8070000000000002,42.01889777183533
mnist,10,10,50,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.8250000000000002,63.594982385635376
mnist,10,10,100,1,28,1000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.8940000000000002,67.93062448501587
mnist,10,10,100,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.9090000000000004,89.30031609535217
mnist,10,10,200,1,28,1000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.9320000000000002,112.80235981941225
mnist,10,10,200,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.934,141.2819209098816
mnist,10,10,300,1,28,1000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.9450000000000004,155.38103795051575
mnist,10,10,300,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.9390000000000001,190.22860145568848
