dataset,way,train_shot,test_shot,max_depth,x_dim,channels,trials,split,in_alphabet,add_rotations,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
mnist,10,10,1,1,28,1,100,test,False,True,2000,False,False,False,0.1559999999999999,1.9091339111328125
mnist,10,10,1,3,28,1,100,test,False,True,2000,False,False,False,0.3349999999999999,2.182748317718506
mnist,10,10,1,5,28,1,100,test,False,True,2000,False,False,False,0.4569999999999999,2.3141884803771973
mnist,10,10,1,7,28,1,100,test,False,True,2000,False,False,False,0.457,2.615180015563965
mnist,10,10,1,10,28,1,100,test,False,True,2000,False,False,False,0.429,2.582316637039185
mnist,10,10,1,20,28,1,100,test,False,True,2000,False,False,False,0.4579999999999999,2.4293134212493896
mnist,10,10,1,30,28,1,100,test,False,True,2000,False,False,False,0.444,2.482290506362915
mnist,10,10,1,50,28,1,100,test,False,True,2000,False,False,False,0.4649999999999999,2.3833608627319336
mnist,10,10,1,100,28,1,100,test,False,True,2000,False,False,False,0.449,2.3090155124664307
mnist,10,50,1,1,28,1,100,test,False,True,2000,False,False,False,0.176,2.7469375133514404
mnist,10,50,1,3,28,1,100,test,False,True,2000,False,False,False,0.438,5.299882173538208
mnist,10,50,1,5,28,1,100,test,False,True,2000,False,False,False,0.574,5.53628134727478
mnist,10,50,1,7,28,1,100,test,False,True,2000,False,False,False,0.629,7.453279733657837
mnist,10,50,1,10,28,1,100,test,False,True,2000,False,False,False,0.605,8.781693696975708
mnist,10,50,1,20,28,1,100,test,False,True,2000,False,False,False,0.6350000000000001,9.218503713607788
mnist,10,50,1,30,28,1,100,test,False,True,2000,False,False,False,0.6140000000000001,8.083508014678955
mnist,10,50,1,50,28,1,100,test,False,True,2000,False,False,False,0.6090000000000001,7.216521501541138
mnist,10,50,1,100,28,1,100,test,False,True,2000,False,False,False,0.618,7.61128306388855
mnist,10,100,1,1,28,1,100,test,False,True,2000,False,False,False,0.18,3.793984651565552
mnist,10,100,1,3,28,1,100,test,False,True,2000,False,False,False,0.4199999999999999,8.122649669647217
mnist,10,100,1,5,28,1,100,test,False,True,2000,False,False,False,0.6360000000000001,13.599639177322388
mnist,10,100,1,7,28,1,100,test,False,True,2000,False,False,False,0.6639999999999999,16.42173671722412
mnist,10,100,1,10,28,1,100,test,False,True,2000,False,False,False,0.65,17.070960521697998
mnist,10,100,1,20,28,1,100,test,False,True,2000,False,False,False,0.67,16.418147087097168
mnist,10,100,1,30,28,1,100,test,False,True,2000,False,False,False,0.6669999999999999,16.073243379592896
mnist,10,100,1,50,28,1,100,test,False,True,2000,False,False,False,0.6669999999999999,17.18349027633667
mnist,10,100,1,100,28,1,100,test,False,True,2000,False,False,False,0.701,16.85564422607422
mnist,10,200,1,1,28,1,100,test,False,True,2000,False,False,False,0.1929999999999999,6.605397462844849
mnist,10,200,1,3,28,1,100,test,False,True,2000,False,False,False,0.4609999999999999,13.792648315429688
mnist,10,200,1,5,28,1,100,test,False,True,2000,False,False,False,0.66,21.094807386398315
mnist,10,200,1,7,28,1,100,test,False,True,2000,False,False,False,0.7140000000000001,27.39720106124878
mnist,10,200,1,10,28,1,100,test,False,True,2000,False,False,False,0.7200000000000002,35.71854114532471
mnist,10,200,1,20,28,1,100,test,False,True,2000,False,False,False,0.7280000000000001,36.830730676651
mnist,10,200,1,30,28,1,100,test,False,True,2000,False,False,False,0.727,36.165369749069214
mnist,10,200,1,50,28,1,100,test,False,True,2000,False,False,False,0.7170000000000001,36.49841904640198
mnist,10,200,1,100,28,1,100,test,False,True,2000,False,False,False,0.7210000000000001,32.84250378608704
mnist,10,300,1,1,28,1,100,test,False,True,2000,False,False,False,0.1909999999999999,8.799216508865356
mnist,10,300,1,3,28,1,100,test,False,True,2000,False,False,False,0.4569999999999999,19.485766887664795
mnist,10,300,1,5,28,1,100,test,False,True,2000,False,False,False,0.682,30.878518104553223
mnist,10,300,1,7,28,1,100,test,False,True,2000,False,False,False,0.736,38.945915937423706
mnist,10,300,1,10,28,1,100,test,False,True,2000,False,False,False,0.7440000000000001,48.82389998435974
mnist,10,300,1,20,28,1,100,test,False,True,2000,False,False,False,0.7519999999999999,51.56498456001282
mnist,10,300,1,30,28,1,100,test,False,True,2000,False,False,False,0.769,52.30919075012207
mnist,10,300,1,50,28,1,100,test,False,True,2000,False,False,False,0.759,52.343315839767456
mnist,10,300,1,100,28,1,100,test,False,True,2000,False,False,False,0.7469999999999999,52.24129915237427
