dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,lr_target,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
omniglot,3,10,1,1,28,784,True,adam,0.001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.2729999999999999,25.47534465789795
omniglot,3,10,1,1,28,784,True,adam,0.001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.257,13.177675008773804
omniglot,3,10,1,1,28,784,True,adam,0.001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.2599999999999999,13.893484115600586
omniglot,3,10,1,1,28,784,True,adam,0.0001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.111,14.157341241836548
omniglot,3,10,1,1,28,784,True,adam,0.0001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.1139999999999999,13.386420965194702
omniglot,3,10,1,1,28,784,True,adam,0.0001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.114,12.958215713500977
omniglot,3,10,1,1,28,784,True,adam,5e-05,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.102,13.836284160614014
omniglot,3,10,1,1,28,784,True,adam,5e-05,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.1049999999999999,13.334683656692505
omniglot,3,10,1,1,28,784,True,adam,5e-05,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.1049999999999999,13.284080982208252
omniglot,3,10,1,1,28,2000,True,adam,0.001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.312,22.445422887802124
omniglot,3,10,1,1,28,2000,True,adam,0.001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.305,22.27919340133667
omniglot,3,10,1,1,28,2000,True,adam,0.001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.308,22.534093141555783
omniglot,3,10,1,1,28,2000,True,adam,0.0001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.1609999999999999,22.724210500717163
omniglot,3,10,1,1,28,2000,True,adam,0.0001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.149,21.959740161895752
omniglot,3,10,1,1,28,2000,True,adam,0.0001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.147,21.598308563232425
omniglot,3,10,1,1,28,2000,True,adam,5e-05,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.142,22.480658292770386
omniglot,3,10,1,1,28,2000,True,adam,5e-05,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.1169999999999999,22.70305562019348
omniglot,3,10,1,1,28,2000,True,adam,5e-05,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.1159999999999999,22.61867356300354
omniglot,3,10,10,1,28,784,True,adam,0.001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.6669999999999999,61.036595821380615
omniglot,3,10,10,1,28,784,True,adam,0.001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.6779999999999998,68.85049057006836
omniglot,3,10,10,1,28,784,True,adam,0.001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.6729999999999998,63.5741822719574
omniglot,3,10,10,1,28,784,True,adam,0.0001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.615,62.609917402267456
omniglot,3,10,10,1,28,784,True,adam,0.0001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.515,64.96450090408325
omniglot,3,10,10,1,28,784,True,adam,0.0001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.5,73.05682849884033
omniglot,3,10,10,1,28,784,True,adam,5e-05,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.499,73.89692735671997
omniglot,3,10,10,1,28,784,True,adam,5e-05,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.35,70.7787835597992
omniglot,3,10,10,1,28,784,True,adam,5e-05,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.324,65.07189130783081
omniglot,3,10,10,1,28,2000,True,adam,0.001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.684,78.15075874328613
omniglot,3,10,10,1,28,2000,True,adam,0.001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.7120000000000002,79.26201558113098
omniglot,3,10,10,1,28,2000,True,adam,0.001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.7110000000000002,78.44901084899902
omniglot,3,10,10,1,28,2000,True,adam,0.0001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.64,77.91719245910645
omniglot,3,10,10,1,28,2000,True,adam,0.0001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.5859999999999999,77.30734896659851
omniglot,3,10,10,1,28,2000,True,adam,0.0001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.58,77.68911933898926
omniglot,3,10,10,1,28,2000,True,adam,5e-05,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.574,75.96960926055908
omniglot,3,10,10,1,28,2000,True,adam,5e-05,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.4800000000000001,79.27312684059143
omniglot,3,10,10,1,28,2000,True,adam,5e-05,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,1,False,False,False,0.4650000000000001,78.39796590805054
omniglot,3,10,5,1,28,784,True,adam,0.001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.5950000000000001,57.47486901283264
omniglot,3,10,5,1,28,784,True,adam,0.001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.5529999999999999,38.79633808135986
omniglot,3,10,5,1,28,784,True,adam,0.001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.5539999999999999,38.94698405265808
omniglot,3,10,5,1,28,784,True,adam,0.0001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.418,38.21362090110779
omniglot,3,10,5,1,28,784,True,adam,0.0001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.349,38.29295229911804
omniglot,3,10,5,1,28,784,True,adam,0.0001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.3359999999999999,36.7756552696228
omniglot,3,10,5,1,28,784,True,adam,5e-05,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.29,38.57511878013611
omniglot,3,10,5,1,28,784,True,adam,5e-05,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.241,36.76173782348633
omniglot,3,10,5,1,28,784,True,adam,5e-05,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.231,39.297367334365845
omniglot,3,10,5,1,28,2000,True,adam,0.001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.562,50.06998038291931
omniglot,3,10,5,1,28,2000,True,adam,0.001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.5830000000000001,162.47084403038025
omniglot,3,10,5,1,28,2000,True,adam,0.001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.58,192.6911745071411
omniglot,3,10,5,1,28,2000,True,adam,0.0001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.49,192.6930911540985
omniglot,3,10,5,1,28,2000,True,adam,0.0001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.4139999999999999,189.62669682502747
omniglot,3,10,5,1,28,2000,True,adam,0.0001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.3999999999999999,193.14348578453064
omniglot,3,10,5,1,28,2000,True,adam,5e-05,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.3649999999999999,192.76029515266416
omniglot,3,10,5,1,28,2000,True,adam,5e-05,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.291,192.8195354938507
omniglot,3,10,5,1,28,2000,True,adam,5e-05,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.283,189.84186434745789
omniglot,3,10,3,1,28,784,True,adam,0.001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.492,114.89382648468018
omniglot,3,10,3,1,28,784,True,adam,0.001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.449,109.67276120185852
omniglot,3,10,3,1,28,784,True,adam,0.001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.4479999999999999,110.32480263710022
omniglot,3,10,3,1,28,784,True,adam,0.0001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.274,111.403151512146
omniglot,3,10,3,1,28,784,True,adam,0.0001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.215,107.99936604499815
omniglot,3,10,3,1,28,784,True,adam,0.0001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,2,2000,False,False,False,0.209,111.12415862083436
