dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,lr_target,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,svd_version,accuracy,duration_sec
omniglot,3,10,1,1,28,784,True,adam,0.001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.3109999999999999,43.864824295043945
omniglot,3,10,1,1,28,784,True,adam,0.001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.304,12.381428241729736
omniglot,3,10,1,1,28,784,True,adam,0.001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.304,12.556071996688845
omniglot,3,10,1,1,28,784,True,adam,0.0001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.304,12.470285415649414
omniglot,3,10,1,1,28,784,True,adam,0.0001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.304,12.478854656219482
omniglot,3,10,1,1,28,784,True,adam,0.0001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.304,12.6940438747406
omniglot,3,10,1,1,28,784,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.3109999999999999,37.39664030075073
omniglot,3,10,1,1,28,2000,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.299,32.28589510917664
omniglot,3,10,3,1,28,784,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.41,12.681758165359495
omniglot,3,10,3,1,28,2000,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.4059999999999999,32.842114210128784
omniglot,3,10,5,1,28,784,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.485,15.221524715423584
omniglot,3,10,5,1,28,2000,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.497,37.40833687782288
omniglot,3,10,10,1,28,784,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.557,15.52094292640686
omniglot,3,10,10,1,28,2000,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.5720000000000001,37.3133225440979
omniglot,10,10,1,1,28,784,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.304,12.260498523712158
omniglot,10,10,1,1,28,2000,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.299,32.793235540390015
omniglot,10,10,3,1,28,784,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.41,12.667891502380373
omniglot,10,10,3,1,28,2000,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.4059999999999999,33.01141095161438
omniglot,10,10,5,1,28,784,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.485,15.599624395370483
omniglot,10,10,5,1,28,2000,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.497,37.3670060634613
omniglot,10,10,10,1,28,784,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.557,16.12872576713562
omniglot,10,10,10,1,28,2000,True,adam,0.001,,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,2,0.5720000000000001,37.85868310928345
