dataset,way,train_shot,test_shot,loss,epochs,trials,silent,split,x_dim,z_dim,lr_predictor,lr_target,channels,test_batch,save_data,in_alphabet,add_rotations,augmentation,full_test,gpu,accuracy,duration_sec
svhn,10,1,1,MSELoss(),3,100,True,test,32,1024,0.001,0.001,3,1,False,False,True,True,False,1,0.095,60.88870859146118
svhn,10,1,1,MSELoss(),10,100,True,test,32,1024,0.001,0.001,3,1,False,False,True,True,False,1,0.1149999999999999,91.7983033657074
svhn,10,1,1,MSELoss(),10,100,True,test,32,1024,0.001,0.0001,3,1,False,False,True,True,False,1,0.0939999999999999,80.66596794128418
svhn,10,1,1,MSELoss(),10,100,True,test,32,1024,0.001,5e-05,3,1,False,False,True,True,False,1,0.0919999999999999,78.98707938194275
svhn,10,1,1,MSELoss(),10,100,True,test,32,1024,0.0001,0.001,3,1,False,False,True,True,False,1,0.115,75.44050669670105
svhn,10,1,1,MSELoss(),10,100,True,test,32,1024,0.0001,0.0001,3,1,False,False,True,True,False,1,0.122,74.6669454574585
svhn,10,1,1,MSELoss(),10,100,True,test,32,1024,0.0001,5e-05,3,1,False,False,True,True,False,1,0.1159999999999999,74.88449287414551
svhn,10,1,1,MSELoss(),10,100,True,test,32,1024,5e-05,0.001,3,1,False,False,True,True,False,1,0.141,76.95962333679199
svhn,10,1,1,MSELoss(),10,100,True,test,32,1024,5e-05,0.0001,3,1,False,False,True,True,False,1,0.127,74.15608143806458
svhn,10,1,1,MSELoss(),10,100,True,test,32,1024,5e-05,5e-05,3,1,False,False,True,True,False,1,0.127,76.83568620681763
svhn,10,1,1,MSELoss(),10,100,True,test,32,2000,0.001,0.001,3,1,False,False,True,True,False,1,0.102,145.71547842025757
svhn,10,1,1,MSELoss(),10,100,True,test,32,2000,0.001,0.0001,3,1,False,False,True,True,False,1,0.1069999999999999,145.49866652488708
svhn,10,1,1,MSELoss(),10,100,True,test,32,2000,0.001,5e-05,3,1,False,False,True,True,False,1,0.1089999999999999,141.876136302948
svhn,10,1,1,MSELoss(),10,100,True,test,32,2000,0.0001,0.001,3,1,False,False,True,True,False,1,0.121,142.30264353752136
svhn,10,1,1,MSELoss(),10,100,True,test,32,2000,0.0001,0.0001,3,1,False,False,True,True,False,1,0.1189999999999999,141.5720329284668
svhn,10,1,1,MSELoss(),10,100,True,test,32,2000,0.0001,5e-05,3,1,False,False,True,True,False,1,0.121,140.56052136421204
svhn,10,1,1,MSELoss(),10,100,True,test,32,2000,5e-05,0.001,3,1,False,False,True,True,False,1,0.141,140.71887731552124
svhn,10,1,1,MSELoss(),10,100,True,test,32,2000,5e-05,0.0001,3,1,False,False,True,True,False,1,0.1259999999999999,140.9046676158905
svhn,10,1,1,MSELoss(),10,100,True,test,32,2000,5e-05,5e-05,3,1,False,False,True,True,False,1,0.125,144.52904272079468
svhn,10,10,1,MSELoss(),10,100,True,test,32,1024,0.001,0.001,3,1,False,False,True,True,False,1,0.125,402.7455430030823
svhn,10,10,1,MSELoss(),10,100,True,test,32,1024,0.001,0.0001,3,1,False,False,True,True,False,1,0.1189999999999999,403.3440051078797
svhn,10,10,1,MSELoss(),10,100,True,test,32,1024,0.001,5e-05,3,1,False,False,True,True,False,1,0.1159999999999999,399.48273754119873
svhn,10,10,1,MSELoss(),10,100,True,test,32,1024,0.0001,0.001,3,1,False,False,True,True,False,1,0.149,397.6274547576904
svhn,10,10,1,MSELoss(),10,100,True,test,32,1024,0.0001,0.0001,3,1,False,False,True,True,False,1,0.236,495.2357618808746
svhn,10,10,1,MSELoss(),10,100,True,test,32,1024,0.0001,5e-05,3,1,False,False,True,True,False,1,0.245,502.71183228492737
svhn,10,10,1,MSELoss(),10,100,True,test,32,1024,5e-05,0.001,3,1,False,False,True,True,False,1,0.136,545.2468280792236
svhn,10,10,1,MSELoss(),10,100,True,test,32,1024,5e-05,0.0001,3,1,False,False,True,True,False,1,0.249,521.1711030006409
svhn,10,10,1,MSELoss(),10,100,True,test,32,1024,5e-05,5e-05,3,1,False,False,True,True,False,1,0.25,643.6420161724091
svhn,10,10,1,MSELoss(),10,100,True,test,32,2000,0.001,0.001,3,1,False,False,True,True,False,1,0.118,930.2575633525848
svhn,10,10,1,MSELoss(),10,100,True,test,32,2000,0.001,0.0001,3,1,False,False,True,True,False,1,0.1139999999999999,820.4396169185638
svhn,10,10,1,MSELoss(),10,100,True,test,32,2000,0.001,5e-05,3,1,False,False,True,True,False,1,0.118,868.939222574234
svhn,10,10,1,MSELoss(),10,100,True,test,32,2000,0.0001,0.001,3,1,False,False,True,True,False,1,0.1119999999999999,990.3020832538604
svhn,10,10,1,MSELoss(),10,100,True,test,32,2000,0.0001,0.0001,3,1,False,False,True,True,False,1,0.236,928.0300805568696
svhn,10,10,1,MSELoss(),10,100,True,test,32,2000,0.0001,5e-05,3,1,False,False,True,True,False,1,0.244,820.956627368927
svhn,10,10,1,MSELoss(),10,100,True,test,32,2000,5e-05,0.001,3,1,False,False,True,True,False,1,0.1239999999999999,876.8967382907867
svhn,10,10,1,MSELoss(),10,100,True,test,32,2000,5e-05,0.0001,3,1,False,False,True,True,False,1,0.2189999999999999,990.995255470276
svhn,10,10,1,MSELoss(),10,100,True,test,32,2000,5e-05,5e-05,3,1,False,False,True,True,False,1,0.237,884.3163812160492
svhn,10,50,1,MSELoss(),10,100,True,test,32,1024,0.001,0.001,3,1,False,False,True,True,False,1,0.195,2643.06103014946
svhn,10,50,1,MSELoss(),10,100,True,test,32,1024,0.001,0.0001,3,1,False,False,True,True,False,1,0.109,2448.58442735672
svhn,10,50,1,MSELoss(),10,100,True,test,32,1024,0.001,5e-05,3,1,False,False,True,True,False,1,0.112,2520.49593949318
svhn,10,50,1,MSELoss(),10,100,True,test,32,1024,0.0001,0.001,3,1,False,False,True,True,False,1,0.225,2595.5612242221832
svhn,10,50,1,MSELoss(),10,100,True,test,32,1024,0.0001,0.0001,3,1,False,False,True,True,False,1,0.3279999999999999,2650.8350365161896
svhn,10,50,1,MSELoss(),10,100,True,test,32,1024,0.0001,5e-05,3,1,False,False,True,True,False,1,0.336,2602.7825486660004
svhn,10,50,1,MSELoss(),10,100,True,test,32,1024,5e-05,0.001,3,1,False,False,True,True,False,1,0.212,2552.5934278965
svhn,10,50,1,MSELoss(),10,100,True,test,32,1024,5e-05,0.0001,3,1,False,False,True,True,False,1,0.417,2519.9270288944244
svhn,10,50,1,MSELoss(),10,100,True,test,32,1024,5e-05,5e-05,3,1,False,False,True,True,False,1,0.4159999999999999,2615.059366941452
svhn,10,50,1,MSELoss(),10,100,True,test,32,2000,0.001,0.001,3,1,False,False,True,True,False,1,0.15,3914.2294919490814
svhn,10,50,1,MSELoss(),10,100,True,test,32,2000,0.001,0.0001,3,1,False,False,True,True,False,1,0.122,3926.999289274216
svhn,10,50,1,MSELoss(),10,100,True,test,32,2000,0.001,5e-05,3,1,False,False,True,True,False,1,0.1139999999999999,3781.729947566986
svhn,10,50,1,MSELoss(),10,100,True,test,32,2000,0.0001,0.001,3,1,False,False,True,True,False,1,0.2,3841.782097101212
svhn,10,50,1,MSELoss(),10,100,True,test,32,2000,0.0001,0.0001,3,1,False,False,True,True,False,1,0.317,3996.8875398635855
svhn,10,50,1,MSELoss(),10,100,True,test,32,2000,0.0001,5e-05,3,1,False,False,True,True,False,1,0.321,4017.2322075366974
svhn,10,50,1,MSELoss(),10,100,True,test,32,2000,5e-05,0.001,3,1,False,False,True,True,False,1,0.193,3842.151069402695
svhn,10,50,1,MSELoss(),10,100,True,test,32,2000,5e-05,0.0001,3,1,False,False,True,True,False,1,0.3760000000000001,3807.758865356445
svhn,10,50,1,MSELoss(),10,100,True,test,32,2000,5e-05,5e-05,3,1,False,False,True,True,False,1,0.384,3895.950543880463
svhn,10,100,1,MSELoss(),10,100,True,test,32,1024,0.001,0.001,3,1,False,False,True,True,False,1,0.168,4734.369290590286
svhn,10,100,1,MSELoss(),10,100,True,test,32,1024,0.001,0.0001,3,1,False,False,True,True,False,1,0.1089999999999999,4805.523961305618
svhn,10,100,1,MSELoss(),10,100,True,test,32,1024,0.001,5e-05,3,1,False,False,True,True,False,1,0.0979999999999999,4870.473201990128
svhn,10,100,1,MSELoss(),10,100,True,test,32,1024,0.0001,0.001,3,1,False,False,True,True,False,1,0.2289999999999999,5061.366092205048
svhn,10,100,1,MSELoss(),10,100,True,test,32,1024,0.0001,0.0001,3,1,False,False,True,True,False,1,0.3049999999999999,5043.893599271774
svhn,10,100,1,MSELoss(),10,100,True,test,32,1024,0.0001,5e-05,3,1,False,False,True,True,False,1,0.318,4783.817894935608
svhn,10,100,1,MSELoss(),10,100,True,test,32,1024,5e-05,0.001,3,1,False,False,True,True,False,1,0.2269999999999999,4878.145605564117
svhn,10,100,1,MSELoss(),10,100,True,test,32,1024,5e-05,0.0001,3,1,False,False,True,True,False,1,0.3839999999999999,4897.468112945557
svhn,10,100,1,MSELoss(),10,100,True,test,32,1024,5e-05,5e-05,3,1,False,False,True,True,False,1,0.3779999999999999,4766.455434083939
svhn,10,100,1,MSELoss(),10,100,True,test,32,2000,0.001,0.001,3,1,False,False,True,True,False,1,0.168,7975.839049339294
svhn,10,100,1,MSELoss(),10,100,True,test,32,2000,0.001,0.0001,3,1,False,False,True,True,False,1,0.118,8106.946445703506
svhn,10,100,1,MSELoss(),10,100,True,test,32,2000,0.001,5e-05,3,1,False,False,True,True,False,1,0.11,7975.662419557571
svhn,10,100,1,MSELoss(),10,100,True,test,32,2000,0.0001,0.001,3,1,False,False,True,True,False,1,0.258,8008.830924272537
svhn,10,100,1,MSELoss(),10,100,True,test,32,2000,0.0001,0.0001,3,1,False,False,True,True,False,1,0.317,8061.976776361465
