dataset,epochs,way,train_shot,test_shot,x_dim,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
svhn,3,10,1,1,32,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.105,11.058021783828735
svhn,3,10,1,1,32,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.1099999999999999,6.828782796859741
svhn,3,10,1,1,32,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.0949999999999999,6.816660642623901
svhn,3,10,10,1,32,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.105,10.198444604873655
svhn,3,10,10,1,32,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.1079999999999999,10.445492029190063
svhn,3,10,10,1,32,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.0989999999999999,10.023723602294922
svhn,3,10,50,1,32,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.104,20.7392520904541
svhn,3,10,50,1,32,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.11,21.61394238471985
svhn,3,10,50,1,32,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.0969999999999999,21.80966806411743
svhn,3,10,100,1,32,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.107,42.774638414382935
svhn,3,10,100,1,32,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.105,43.1759307384491
svhn,3,10,100,1,32,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.1039999999999999,42.25919723510742
svhn,3,10,200,1,32,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.107,72.64362001419067
svhn,3,10,200,1,32,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.1089999999999999,73.6724226474762
svhn,3,10,200,1,32,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.1119999999999999,73.73385214805603
svhn,3,10,300,1,32,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.121,107.70212507247923
svhn,3,10,300,1,32,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.1159999999999999,106.56920909881592
svhn,3,10,300,1,32,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.1119999999999999,106.52586627006532
svhn,10,10,1,1,32,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.1189999999999999,9.858035564422607
svhn,10,10,1,1,32,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.106,9.679030179977415
svhn,10,10,1,1,32,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.113,10.586699724197388
svhn,10,10,10,1,32,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.112,19.84193539619445
svhn,10,10,10,1,32,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.096,19.876460552215576
svhn,10,10,10,1,32,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.108,20.37162160873413
svhn,10,10,50,1,32,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.1189999999999999,59.36023378372192
svhn,10,10,50,1,32,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.127,59.313355922698975
svhn,10,10,50,1,32,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.121,60.05759406089783
svhn,10,10,100,1,32,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.13,108.6175947189331
svhn,10,10,100,1,32,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.1259999999999999,113.09877228736876
svhn,10,10,100,1,32,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.118,109.59769630432127
svhn,10,10,200,1,32,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.1189999999999999,205.2467155456543
svhn,10,10,200,1,32,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.112,188.5494017601013
svhn,10,10,200,1,32,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.115,187.98259043693545
svhn,10,10,300,1,32,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.12,279.38079953193665
svhn,10,10,300,1,32,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.13,279.73869943618774
svhn,10,10,300,1,32,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.12300000000000001,280.6280062198639
