dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
svhn,3,10,1,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.111,79.29760551452637
svhn,3,10,1,1,32,1024,True,adam,0.0001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.118,39.350598096847534
svhn,3,10,1,1,32,1024,True,adam,5e-05,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.1169999999999999,38.76235818862915
svhn,3,10,1,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.105,68.07200980186462
svhn,3,10,1,1,32,2000,True,adam,0.0001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.119,67.76783800125122
svhn,3,10,1,1,32,2000,True,adam,5e-05,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.106,65.81480264663696
svhn,3,10,5,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.1039999999999999,55.539729833602905
svhn,3,10,5,1,32,1024,True,adam,0.0001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.139,57.14008188247681
svhn,3,10,5,1,32,1024,True,adam,5e-05,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.1219999999999999,55.40216612815857
svhn,3,10,5,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.103,96.11873483657835
svhn,3,10,5,1,32,2000,True,adam,0.0001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.1179999999999999,94.94859147071838
svhn,3,10,5,1,32,2000,True,adam,5e-05,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.1249999999999999,95.69128036499023
svhn,3,10,10,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.1119999999999999,79.73334121704102
svhn,3,10,10,1,32,1024,True,adam,0.0001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.17,79.05699634552002
svhn,3,10,10,1,32,1024,True,adam,5e-05,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.166,79.07142305374146
