dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
svhn,3,10,1,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.12,46.47340631484985
svhn,3,10,1,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.129,74.96560430526733
svhn,3,10,5,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.209,46.88499164581299
svhn,3,10,5,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.203,81.42054653167725
svhn,3,10,10,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.295,49.358678340911865
svhn,3,10,10,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.311,80.9201135635376
svhn,3,10,50,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.5049999999999999,58.381022930145264
svhn,3,10,50,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.518,97.99810457229614
svhn,3,10,100,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.5209999999999999,76.82039999961853
svhn,3,10,100,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.5269999999999999,118.40165066719057
svhn,3,10,200,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.4799999999999999,112.0206093788147
svhn,3,10,200,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.482,170.75024890899658
svhn,3,10,300,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.405,153.2260663509369
svhn,3,10,300,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.407,224.253821849823
svhn,10,10,1,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.12,37.36121010780335
svhn,10,10,1,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.129,66.28474545478821
svhn,10,10,5,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.209,42.075554847717285
svhn,10,10,5,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.203,78.75270867347717
svhn,10,10,10,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.295,48.21536922454834
svhn,10,10,10,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.311,80.96851372718811
svhn,10,10,50,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.5049999999999999,57.636542081832886
svhn,10,10,50,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.518,96.34122276306152
svhn,10,10,100,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.5209999999999999,76.6480872631073
svhn,10,10,100,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.5269999999999999,123.9907042980194
svhn,10,10,200,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.4799999999999999,115.8303542137146
svhn,10,10,200,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.482,177.14392161369324
svhn,10,10,300,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.405,156.26938223838806
svhn,10,10,300,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.40700000000000003,224.36831378936768
