dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,svd_version,accuracy,duration_sec
svhn,3,10,1,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.1009999999999999,90.32341003417967
svhn,3,10,1,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.0979999999999999,154.32304739952087
svhn,3,10,5,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.1039999999999999,90.46331858634947
svhn,3,10,5,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.0949999999999999,153.95331859588623
svhn,3,10,10,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.0949999999999999,88.38659763336182
svhn,3,10,10,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.1029999999999999,154.6987452507019
svhn,3,10,50,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.254,109.23693323135376
svhn,3,10,50,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.251,170.93324899673462
svhn,3,10,100,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.412,131.8614981174469
svhn,3,10,100,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.407,211.13608694076527
svhn,3,10,200,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.584,196.06298160552976
svhn,3,10,200,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.5820000000000001,281.17176842689514
svhn,3,10,300,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.6079999999999999,256.51542949676514
svhn,3,10,300,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.637,340.5136561393738
svhn,10,10,1,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.1009999999999999,76.51672124862671
svhn,10,10,1,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.0979999999999999,142.91657257080078
svhn,10,10,5,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.1039999999999999,86.03073740005493
svhn,10,10,5,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.0949999999999999,149.99772357940674
svhn,10,10,10,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.0949999999999999,87.74131798744202
svhn,10,10,10,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.1029999999999999,144.49120235443115
svhn,10,10,50,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.254,104.98992919921876
svhn,10,10,50,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.251,172.16613149642944
svhn,10,10,100,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.412,134.03977870941162
svhn,10,10,100,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.407,206.31901621818545
svhn,10,10,200,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.584,193.97474122047424
svhn,10,10,200,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.5820000000000001,282.2903470993042
svhn,10,10,300,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.6079999999999999,254.56805443763733
svhn,10,10,300,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,2,2000,False,False,False,2,0.637,346.2135274410248
