dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,accuracy,duration_sec
mnist,1,10,1,1,28,50,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.06299999999999999,4.220196485519408
mnist,1,10,1,1,28,50,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.18899999999999997,2.835517406463623
mnist,1,10,1,1,28,50,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.15600000000000006,2.819388628005981
mnist,1,10,1,1,28,50,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.115,2.914646625518799
mnist,1,10,1,1,28,50,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.113,2.8788955211639404
mnist,1,10,1,1,28,50,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.11199999999999999,2.886342763900757
mnist,1,10,1,1,28,50,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.122,2.649719476699829
mnist,1,10,1,1,28,50,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.113,2.6350669860839844
mnist,1,10,1,1,28,50,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.113,2.6321940422058105
mnist,1,10,1,1,28,100,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.05299999999999999,3.0945401191711426
mnist,1,10,1,1,28,100,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.23900000000000005,3.1022331714630127
mnist,1,10,1,1,28,100,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.16899999999999998,3.0998218059539795
mnist,1,10,1,1,28,100,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.10300000000000001,3.1647722721099854
mnist,1,10,1,1,28,100,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09699999999999999,3.165848016738892
mnist,1,10,1,1,28,100,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.097,3.151935577392578
mnist,1,10,1,1,28,100,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.114,2.911158323287964
mnist,1,10,1,1,28,100,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09999999999999998,2.900042057037353
mnist,1,10,1,1,28,100,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09699999999999999,2.811779737472534
mnist,1,10,1,1,28,200,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.058,3.716315269470215
mnist,1,10,1,1,28,200,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.278,3.5778522491455083
mnist,1,10,1,1,28,200,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.212,3.68979811668396
mnist,1,10,1,1,28,200,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09899999999999996,3.768741607666016
mnist,1,10,1,1,28,200,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09699999999999998,3.5629875659942627
mnist,1,10,1,1,28,200,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09699999999999998,3.806352615356445
mnist,1,10,1,1,28,200,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.10599999999999997,3.3178327083587646
mnist,1,10,1,1,28,200,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09799999999999998,3.3639392852783203
mnist,1,10,1,1,28,200,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09799999999999998,3.442629098892212
mnist,1,10,1,1,28,300,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.037000000000000005,4.163775444030762
mnist,1,10,1,1,28,300,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.29900000000000004,4.193491697311401
mnist,1,10,1,1,28,300,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.218,4.088468313217163
mnist,1,10,1,1,28,300,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.099,4.197049617767334
mnist,1,10,1,1,28,300,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09199999999999996,4.216455221176148
mnist,1,10,1,1,28,300,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09199999999999996,4.1804635524749765
mnist,1,10,1,1,28,300,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.1,3.9617221355438232
mnist,1,10,1,1,28,300,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09199999999999996,3.9643340110778813
mnist,1,10,1,1,28,300,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09199999999999996,3.954621553421022
mnist,1,10,1,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.035,5.345757961273193
mnist,1,10,1,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.349,5.177233934402466
mnist,1,10,1,1,28,500,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.24800000000000005,5.2363712787628165
mnist,1,10,1,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.099,5.303657054901123
mnist,1,10,1,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09400000000000004,5.402877330780028
mnist,1,10,1,1,28,500,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09400000000000004,5.263572692871094
mnist,1,10,1,1,28,500,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.098,4.8948962688446045
mnist,1,10,1,1,28,500,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09400000000000004,4.995959758758545
mnist,1,10,1,1,28,500,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.09400000000000004,5.031543016433716
mnist,1,10,1,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.032,5.667986631393433
mnist,1,10,1,1,28,600,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.366,5.669959545135497
mnist,1,10,1,1,28,600,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.28800000000000003,5.698344469070435
mnist,1,10,1,1,28,600,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.113,5.887825012207031
mnist,1,10,1,1,28,600,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.10799999999999996,5.7746636867523184
mnist,1,10,1,1,28,600,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.10799999999999996,5.800083160400393
mnist,1,10,1,1,28,600,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.11199999999999999,5.568110227584839
mnist,1,10,1,1,28,600,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.10799999999999996,5.530710220336914
