dataset,way,epochs,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,accuracy,duration_sec
omniglot,5,1,1,1,28,100,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.184,15.70586609840393
omniglot,5,1,1,1,28,100,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.22399999999999998,9.216099500656126
omniglot,5,1,1,1,28,100,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,9.40137004852295
omniglot,5,1,1,1,28,100,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.21600000000000005,10.429804801940918
omniglot,5,1,1,1,28,100,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.204,9.903445482254027
omniglot,5,1,1,1,28,100,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.204,10.17867136001587
omniglot,5,1,1,1,28,300,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2240000000000001,9.643898963928224
omniglot,5,1,1,1,28,300,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,9.683789253234863
omniglot,5,1,1,1,28,300,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.21600000000000005,9.911927461624147
omniglot,5,1,1,1,28,300,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2,10.774267673492432
omniglot,5,1,1,1,28,300,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.184,10.025045156478884
omniglot,5,1,1,1,28,300,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.18,9.558448553085329
omniglot,5,1,1,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.224,10.283804416656494
omniglot,5,1,1,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.23199999999999998,9.872008562088011
omniglot,5,1,1,1,28,500,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.24,9.665710926055908
omniglot,5,1,1,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.184,10.9041109085083
omniglot,5,1,1,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.18,10.626022577285768
omniglot,5,1,1,1,28,500,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.18,10.293053865432741
omniglot,5,1,1,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.248,10.322286605834961
omniglot,5,1,1,1,28,600,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.252,9.633832931518556
omniglot,5,1,1,1,28,600,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.232,10.16006636619568
omniglot,5,1,1,1,28,600,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.188,10.862090587615967
omniglot,5,1,1,1,28,600,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.18,10.495216608047484
omniglot,5,1,1,1,28,600,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.18,11.094668626785278
omniglot,5,1,1,1,28,784,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.204,10.311023950576784
omniglot,5,1,1,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.21600000000000005,10.749999523162842
omniglot,5,1,1,1,28,784,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.22,10.013256788253782
omniglot,5,1,1,1,28,784,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.188,11.404812574386597
omniglot,5,1,1,1,28,784,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.192,10.69918966293335
omniglot,5,1,1,1,28,784,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.192,10.874279499053957
omniglot,5,1,1,1,28,1000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.192,10.533325672149658
omniglot,5,1,1,1,28,1000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.212,10.439423084259033
omniglot,5,1,1,1,28,1000,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.22,11.38467812538147
omniglot,5,1,1,1,28,1000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2,10.852351903915405
omniglot,5,1,1,1,28,1000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.196,10.975369930267334
omniglot,5,1,1,1,28,1000,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.196,11.369275331497192
omniglot,5,1,1,1,28,2000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.192,13.58563232421875
omniglot,5,1,1,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.188,12.798909664154053
omniglot,5,1,1,1,28,2000,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.188,12.91795778274536
omniglot,5,1,1,1,28,2000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.196,13.77790904045105
omniglot,5,1,1,1,28,2000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2,14.645748138427734
omniglot,5,1,1,1,28,2000,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2,13.894571542739868
omniglot,5,1,5,1,28,100,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.23600000000000002,41.493956804275506
omniglot,5,1,5,1,28,100,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.248,42.402138948440545
omniglot,5,1,5,1,28,100,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.248,41.79932689666747
omniglot,5,1,5,1,28,100,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.23200000000000004,44.0543863773346
omniglot,5,1,5,1,28,100,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.204,44.72406530380249
omniglot,5,1,5,1,28,100,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.196,45.08206868171692
omniglot,5,1,5,1,28,300,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.244,42.185736179351814
omniglot,5,1,5,1,28,300,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.276,41.73417210578919
omniglot,5,1,5,1,28,300,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.268,43.511948108673096
omniglot,5,1,5,1,28,300,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.24,45.24591255187988
omniglot,5,1,5,1,28,300,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,45.22553610801697
omniglot,5,1,5,1,28,300,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,45.12833499908447
omniglot,5,1,5,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.232,42.34819102287293
omniglot,5,1,5,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.26,42.74032473564147
omniglot,5,1,5,1,28,500,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.256,42.426566123962395
omniglot,5,1,5,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.20800000000000002,45.717570304870605
omniglot,5,1,5,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2,45.36535334587097
