dataset,way,train_shot,test_shot,loss,epochs,trials,silent,split,x_dim,z_dim,lr_predictor,lr_target,channels,gpu,test_batch,save_data,accuracy,duration_sec
mnist,10,1,1,MSELoss(),3,50,True,test,28,784,0.001,0.001,1,0,2000,False,0.4085820000000001,61.31214427947998
mnist,10,1,1,MSELoss(),3,50,True,test,28,784,0.001,0.0001,1,0,2000,False,0.43120600000000003,56.441004991531365
mnist,10,1,1,MSELoss(),3,50,True,test,28,784,0.0001,0.001,1,0,2000,False,0.40261399999999997,57.527499198913574
mnist,10,1,1,MSELoss(),3,50,True,test,28,784,0.0001,0.0001,1,0,2000,False,0.272406,59.40890455245972
mnist,10,1,1,MSELoss(),3,50,True,test,28,784,1e-05,0.001,1,0,2000,False,0.39206599999999997,56.94067978858948
mnist,10,1,1,MSELoss(),3,50,True,test,28,784,1e-05,0.0001,1,0,2000,False,0.16393999999999995,54.95034146308899
mnist,10,1,1,MSELoss(),3,50,True,test,28,2000,0.001,0.001,1,0,2000,False,0.432734,47.520217418670654
mnist,10,1,1,MSELoss(),3,50,True,test,28,2000,0.001,0.0001,1,0,2000,False,0.435924,48.595054149627686
mnist,10,1,1,MSELoss(),3,50,True,test,28,2000,0.0001,0.001,1,0,2000,False,0.4342080000000001,50.250718116760254
mnist,10,1,1,MSELoss(),3,50,True,test,28,2000,0.0001,0.0001,1,0,2000,False,0.366814,50.729559898376465
mnist,10,1,1,MSELoss(),3,50,True,test,28,2000,1e-05,0.001,1,0,2000,False,0.428972,49.50916171073914
mnist,10,1,1,MSELoss(),3,50,True,test,28,2000,1e-05,0.0001,1,0,2000,False,0.280466,49.171204566955566
mnist,10,1,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,0,2000,False,0.393886,60.53734230995178
mnist,10,1,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,0,2000,False,0.394206,61.05340576171875
mnist,10,1,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,0,2000,False,0.4163,64.19337153434753
mnist,10,1,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,0,2000,False,0.390538,64.49394941329956
