accuracy,add_rotations,augmentation,channels,dataset,duration_sec,epochs,gpu,in_alphabet,loss,lr_predictor,lr_target,save_data,silent,split,test_batch,test_shot,train_shot,trials,way,x_dim,z_dim
0.5259999999999999,True,,1,omniglot,29.00733232498169,3,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,5,100,10,28,784
0.512,True,,1,omniglot,22.29600739479065,3,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,5,100,10,28,784
0.479,True,,1,omniglot,22.074780464172363,3,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,5,100,10,28,784
0.3349999999999999,True,,1,omniglot,22.16742849349976,3,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,5,100,10,28,784
0.605,True,,1,omniglot,40.067827939987176,3,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,5,100,10,28,2000
0.578,True,,1,omniglot,40.16387677192689,3,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,5,100,10,28,2000
0.584,True,,1,omniglot,40.161101579666145,3,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,5,100,10,28,2000
0.503,True,,1,omniglot,40.06098628044128,3,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,5,100,10,28,2000
0.508,True,,1,omniglot,74.36852073669435,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,5,100,10,28,784
0.507,True,,1,omniglot,74.47673678398131,10,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,5,100,10,28,784
0.4930000000000001,True,,1,omniglot,74.2460777759552,10,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,5,100,10,28,784
0.461,True,,1,omniglot,74.31956505775452,10,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,5,100,10,28,784
0.5710000000000001,True,,1,omniglot,109.59956598281859,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,5,100,10,28,2000
0.511,True,,1,omniglot,109.62999320030212,10,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,5,100,10,28,2000
0.578,True,,1,omniglot,109.7585220336914,10,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,5,100,10,28,2000
0.575,True,,1,omniglot,109.67369198799132,10,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,5,100,10,28,2000
0.644,True,,1,omniglot,43.882760763168335,3,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,10,100,10,28,784
0.6629999999999998,True,,1,omniglot,43.796432733535774,3,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,10,100,10,28,784
0.627,True,,1,omniglot,43.758370876312256,3,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,10,100,10,28,784
0.514,True,,1,omniglot,43.828364849090576,3,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,10,100,10,28,784
