dataset,way,train_shot,test_shot,loss,epochs,trials,silent,split,x_dim,z_dim,lr_predictor,lr_target,channels,test_batch,save_data,in_alphabet,add_rotations,augmentation,gpu,accuracy,duration_sec
omniglot,3,1,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.5866666666666667,134.45514726638794
omniglot,3,1,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.56,112.25575423240662
omniglot,3,3,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.6866666666666665,247.88715410232544
omniglot,3,3,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.62,290.5852794647217
omniglot,3,5,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.7266666666666667,374.2703845500946
omniglot,3,5,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.6866666666666665,467.7219913005829
omniglot,3,10,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.8,685.155978679657
omniglot,3,10,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.8066666666666665,914.5622017383577
omniglot,5,1,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.3680000000000001,169.21125268936154
omniglot,5,1,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.3439999999999999,170.70843124389646
omniglot,5,3,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.4600000000000001,370.3095529079437
omniglot,5,3,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.5680000000000001,469.3824071884155
omniglot,5,5,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.5519999999999999,586.4201548099518
omniglot,5,5,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.5479999999999999,761.241968870163
omniglot,5,10,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.62,1083.3427019119265
omniglot,5,10,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.6480000000000001,1505.8513419628146
omniglot,10,1,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.29,275.3189690113068
omniglot,10,1,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.254,325.86018061637884
omniglot,10,3,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.3300000000000001,677.16628074646
omniglot,10,3,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.3920000000000001,921.165744781494
omniglot,10,5,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.424,1094.5144019126892
omniglot,10,5,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.4199999999999999,1508.7010788917542
omniglot,10,10,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.536,2119.131796360016
omniglot,10,10,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,True,True,1,0.548,2870.7384939193726
