dataset,epochs,way,train_shot,test_shot,x_dim,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
mnist,3,10,1,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.17699199999999998,60.4756977558136
mnist,3,10,1,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.102577,59.11305356025696
mnist,3,10,5,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.3268,62.209319829940796
mnist,3,10,5,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.11328699999999994,63.67455196380615
mnist,3,10,10,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.45974,67.28928160667421
mnist,3,10,10,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.12987700000000002,67.95208883285521
mnist,3,10,50,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.7881640000000002,68.99813532829286
mnist,3,10,50,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.296696,69.36290788650514
mnist,3,10,100,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8301619999999997,71.858802318573
mnist,3,10,100,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.4962650000000001,72.22306323051454
mnist,3,10,200,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8609399999999999,78.86535716056824
mnist,3,10,200,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.6945880000000001,80.52683424949645
mnist,10,10,1,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.316261,60.84485054016113
mnist,10,10,1,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.12165199999999995,60.53006792068482
mnist,10,10,5,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.5687800000000001,66.42135357856749
mnist,10,10,5,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.163096,64.23637652397157
mnist,10,10,10,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.6791799999999999,67.44184708595276
mnist,10,10,10,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.224268,69.94587421417236
mnist,10,10,50,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8393069999999999,76.28457379341124
mnist,10,10,50,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.6481150000000001,74.50255370140077
mnist,10,10,100,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.870801,90.33702421188354
mnist,10,10,100,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.7692659999999999,86.98559856414795
mnist,10,10,200,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8915879999999999,113.6348659992218
mnist,10,10,200,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.820855,113.37572836875916
