dataset,epochs,way,train_shot,test_shot,x_dim,hidden_layers,nonlinearity,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
mnist,3,10,1,1,28,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.237006,64.57497501373291
mnist,3,10,1,1,28,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.236972,63.02336287498474
mnist,3,10,5,1,28,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.4095,64.01686477661133
mnist,3,10,5,1,28,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.409538,64.13969969749449
mnist,3,10,10,1,28,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.455688,65.25334572792053
mnist,3,10,10,1,28,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.455639,64.88661813735962
mnist,3,10,50,1,28,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8938459999999999,73.05048298835754
mnist,3,10,50,1,28,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8937999999999999,72.83868384361267
mnist,3,10,100,1,28,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.935509,85.3384943008423
mnist,3,10,100,1,28,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.935593,86.28558683395386
mnist,3,10,200,1,28,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.955573,107.14739799499512
mnist,3,10,200,1,28,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.95564,107.27083778381348
mnist,10,10,1,1,28,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.31316900000000003,64.59890604019165
mnist,10,10,1,1,28,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.31311700000000003,64.58570575714111
mnist,10,10,5,1,28,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.644712,66.78012990951538
mnist,10,10,5,1,28,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.6447750000000001,66.86789202690126
mnist,10,10,10,1,28,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.7935899999999999,71.3532645702362
mnist,10,10,10,1,28,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.7936050000000001,70.93531107902527
mnist,10,10,50,1,28,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.940592,99.87689518928528
mnist,10,10,50,1,28,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.940549,99.33915138244629
mnist,10,10,100,1,28,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.959155,135.38254380226135
mnist,10,10,100,1,28,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.959149,135.62151551246643
mnist,10,10,200,1,28,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.971316,204.7759096622467
mnist,10,10,200,1,28,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.9712889999999998,205.17930436134338
