dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
mnist,3,10,1,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.4167500000000001,68.88096666336061
mnist,3,10,1,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.217568,67.30453753471376
mnist,3,10,1,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.15472499999999995,67.4942193031311
mnist,3,10,1,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.425918,77.32132530212401
mnist,3,10,1,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.289765,77.53078961372374
mnist,3,10,1,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.198116,77.62816858291627
mnist,3,10,5,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.6954499999999999,73.45095086097717
mnist,3,10,5,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.568181,73.57102298736572
mnist,3,10,5,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.4110799999999999,73.39916491508485
mnist,3,10,5,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.7008880000000001,85.00430870056151
mnist,3,10,5,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.6336799999999999,85.48587107658386
mnist,3,10,5,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.532894,84.71095299720764
mnist,3,10,10,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.7987599999999999,80.63690710067748
mnist,3,10,10,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.7188159999999999,80.81619238853455
mnist,3,10,10,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.609876,80.93787217140199
