dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,accuracy,duration_sec
mnist,1,10,1,1,28,200,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.05043,33.70780611038208
mnist,1,10,1,1,28,200,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.27355,32.3613440990448
mnist,1,10,1,1,28,200,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10260999999999999,32.69425177574158
mnist,1,10,1,1,28,200,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.0996,32.553020238876336
mnist,1,10,1,1,28,300,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.04533,32.928786993026726
mnist,1,10,1,1,28,300,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.30382800000000004,32.98249053955078
mnist,1,10,1,1,28,300,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.108014,33.00027322769165
mnist,1,10,1,1,28,300,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10524399999999998,33.129027366638184
mnist,1,10,1,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.044302,33.868592977523804
mnist,1,10,1,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.335828,33.53992414474487
mnist,1,10,1,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10452200000000003,33.627446174621575
mnist,1,10,1,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10189,33.618916511535645
mnist,1,10,1,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.041598,34.13034439086914
mnist,1,10,1,1,28,600,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.3440860000000001,33.893087148666375
mnist,1,10,1,1,28,600,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10041799999999998,34.087077856063836
mnist,1,10,1,1,28,600,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.097984,34.235180139541626
mnist,1,10,1,1,28,784,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.037776,34.877189874649055
mnist,1,10,1,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.361396,34.72698712348938
mnist,1,10,1,1,28,784,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10699200000000003,34.6015944480896
mnist,1,10,1,1,28,784,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.104746,34.842801332473755
mnist,1,10,1,1,28,1000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.03766,35.513873100280755
mnist,1,10,1,1,28,1000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.367182,35.600651502609246
mnist,1,10,1,1,28,1000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.102064,35.67579579353333
mnist,1,10,1,1,28,1000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.10003199999999997,35.68258953094483
mnist,1,10,1,1,28,2000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.03337999999999998,39.66399383544922
mnist,1,10,1,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.387058,39.885099172592156
mnist,1,10,1,1,28,2000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.094546,39.70275497436523
mnist,1,10,1,1,28,2000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.09332200000000004,39.72334599494935
mnist,1,10,5,1,28,200,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.145488,33.498709201812744
mnist,1,10,5,1,28,200,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.6009220000000001,33.48263025283813
mnist,1,10,5,1,28,200,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,0,2000,True,0.116072,33.37249636650085
