dataset,way,epochs,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,accuracy,duration_sec
omniglot,3,10,1,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.5466666666666666,78.06412935256958
omniglot,3,10,1,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.4766666666666666,94.63351774215698
omniglot,3,10,3,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.6199999999999999,206.79257225990293
omniglot,3,10,3,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.6333333333333333,268.3936610221864
omniglot,3,10,5,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.6800000000000002,349.26573395729065
omniglot,3,10,5,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.65,446.2779824733734
omniglot,3,10,10,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.7000000000000002,691.7588102817535
omniglot,3,10,10,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.6599999999999998,894.4462418556212
omniglot,5,10,1,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.40800000000000014,124.82844471931458
omniglot,5,10,1,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.414,161.30752539634702
omniglot,5,10,3,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.5219999999999999,346.63713121414185
omniglot,5,10,3,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.504,440.8078556060791
omniglot,5,10,5,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.6459999999999999,571.5105013847351
omniglot,5,10,5,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.55,728.0895426273346
omniglot,5,10,10,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.6599999999999998,1136.2231922149658
omniglot,5,10,10,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.6080000000000001,1478.3788270950315
omniglot,10,10,1,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.31499999999999995,238.50466775894162
omniglot,10,10,1,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.316,311.51127076148987
omniglot,10,10,3,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.409,699.0591261386871
omniglot,10,10,3,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.377,909.8956599235536
omniglot,10,10,5,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.477,1153.241755485535
omniglot,10,10,5,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.4280000000000001,1489.3726663589478
omniglot,10,10,10,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.512,2319.322745323181
omniglot,10,10,10,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.48599999999999993,2965.7555379867554
