dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
omniglot,10,3,1,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.54,17.871843099594113
omniglot,10,3,1,1,28,784,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5633333333333332,10.83225393295288
omniglot,10,3,1,1,28,784,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5433333333333333,10.89841341972351
omniglot,10,3,1,1,28,784,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.48,10.965456008911133
omniglot,10,3,1,1,28,784,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.44,10.87943959236145
omniglot,10,3,1,1,28,784,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.3766666666666667,10.850451707839966
omniglot,10,3,1,1,28,784,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.3733333333333334,10.951908826828003
omniglot,10,3,1,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5933333333333334,19.204724788665768
omniglot,10,3,1,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5766666666666667,19.078415393829342
omniglot,10,3,1,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5766666666666667,19.020581483840946
omniglot,10,3,1,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.4933333333333334,17.738138914108273
omniglot,10,3,1,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.45,18.931147813797
omniglot,10,3,1,1,28,2000,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.39,18.847203254699707
omniglot,10,3,1,1,28,2000,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.3833333333333334,17.722230672836304
omniglot,10,3,3,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.68,19.518215417861946
