dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
omniglot,10,3,1,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.5166666666666667,10.535422801971436
omniglot,10,3,1,1,28,784,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.4066666666666667,3.804035425186157
omniglot,10,3,1,1,28,784,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.3633333333333335,3.78814959526062
omniglot,10,3,1,1,28,784,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.31999999999999995,3.8072078227996826
omniglot,10,3,1,1,28,784,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.31000000000000005,3.85733962059021
omniglot,10,3,1,1,28,784,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.31000000000000005,3.869080066680908
omniglot,10,3,1,1,28,784,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.31000000000000005,3.803544998168945
omniglot,10,3,1,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.5,6.999505281448362
omniglot,10,3,1,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.4466666666666667,7.04906153678894
omniglot,10,3,1,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.39,7.030519247055054
omniglot,10,3,1,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.3433333333333333,6.955995321273804
omniglot,10,3,1,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.3133333333333333,6.984528541564941
omniglot,10,3,1,1,28,2000,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.3,7.006013631820679
omniglot,10,3,1,1,28,2000,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.29666666666666663,7.0699238777160645
